Match type,Search term,Excluded Keyword,Keyword,Impressions
broad,kills 100 percent of head lice,, +kill +lice,1
exact (close variant),nits head lice treatment,,[head lice nits treatment],1
broad,boots head lice treatment,, +treating +lice,1
exact (close variant),head live,,[head lice],1
phrase,lyclear head lice shampoo and breastfeeding,, +lice +shampoo,1
phrase,head lice best shampoo,, +head +lice,1
broad,one time treatment for head lice ireland,, +treatment +for +lice,1
phrase,get rid of head lice,, +head +lice,1
phrase (close variant),what do headlice look like,, +head +lice,1
broad,how to get rid of nits and lice fast,, +how +to +get +rid +of +lice +nits,1
phrase,how quickly do head lice grow,, +head +lice,1
phrase,letter head lice,, +head +lice,1
phrase (close variant),head louse treatment,, +head +lice,1
phrase (close variant),moov headlice,, +head +lice,1
phrase (close variant),head lice sympyons,, +lice +symptoms,1
broad,best headlice treatnent,, +best +treatment +head +lice,1
phrase,facts about head lice and nits,, +head +lice,1
phrase,hot water to kill lice,, +kill +lice,1
broad,head lice treatments for children,, +head +lice +children,1
broad,what's the best way to get rid of head lice and nits,, +head +lice +rid,1
phrase,the best treatment for head lice and nits,, +best +treatment +for +head +lice +and +nits,1
phrase,head lice treatment reviews,, +head +lice,1
broad,lyclear head lice repellent spray,, +repel +lice,1
phrase,how soon can you repeat head lice treatment after 1st application,, +lice +treatment,1
broad,head lice removal salons in birmingham,, +remove +lice,1
broad,get rid of head lice eggs,, +head +lice +rid,1
broad,head lice treatment reviews,, +treating +lice,1
broad,head lice overnight treatment,, +treating +lice,1
broad,lice removal uk,, +remove +lice,1
phrase,how many head lice solutions can you use,, +head +lice,1
phrase,kids lice repellent,, +lice +repellent,1
phrase,how do i get rid of head lice and eggs,, +how +do +i +get +rid +of +head +lice,1
broad,does lice die as soon as the shampoo has been applied,, +lice +shampoo,1
broad,what is the best treatment for head lice,, +the +best +treatment +for +lice,1
broad,lice removal salons near me,, +remove +lice,1
broad,do you need to wash towels and bedding to treat headlice,, +head +lice,1
phrase,new head lice treatment 2017,, +new +head +lice +treatment,1
exact (close variant),hear lice,, +head +lice,1
broad,pure essential lice repellant spray,, +lice +spray,1
exact (close variant),head llice,, +head +lice,1
phrase,if medical referral would be required in head lice,, +head +lice,1
phrase,lyclear head lice treatment instructions,, +head +lice,1
phrase,how head lice are formed,, +head +lice,1
broad,what is the best solution to get rid of head lice,, +head +lice +rid,1
exact (close variant),best lice products,,[best lice product],1
phrase,do head lice change colour,, +head +lice,1
phrase,the head lice life cycle,, +head +lice +life +cycle,1
broad,does vinegar kill head lice,, +kill +lice,1
phrase,how to get rid of lice and eggs,, +how +to +get +rid +of +lice,1
phrase,origin of head lice,, +head +lice,1
phrase,getting rid of nits and lice home remedies,, +lice +home +remedies,1
phrase,recent head lice adverts,, +head +lice,1
exact (close variant),how to remove headlice,, +how +to +remove +head +lice,1
exact (close variant),head lice humans,,[human head lice],1
exact (close variant),best headloce removee,,[best head lice removal],1
phrase,what to look for head lice,, +head +lice,1
broad,an headlice become resistant to medication,, +head +lice +medication,1
exact (close variant),headlice treatments uk,,[head lice treatment uk],1
broad,how to get rid of head lice in 2 year old,, +head +lice +rid,1
phrase,can u catch head lice eggs,, +head +lice,1
broad,places to get rid of lice near me,, +rid +lice,1
phrase,puressential anti lice lotion garden sheds,, +lice +lotion,1
phrase (close variant),where do headlice lay there eggs,, +head +lice,1
phrase,how do you know if you have head lice,, +head +lice,1
broad,headlice treatment kils eggs and lice,, +head +lice +and +eggs,1
exact (close variant),what are symptoms of head lice,,[what are the symptoms of head lice],1
broad,after one treatment on hair lice,, +lice +hair +treatment,1
phrase,head lice treatment for child,, +lice +treatment +for +child,1
phrase,treatment of head lice,, +head +lice,1
exact (close variant),best treatment for head lice uk,,[best head lice treatment uk],1
broad,my daughter has lice and cant get rid of it,, +rid +lice,1
broad,how to treat headlice,, +treating +lice,1
phrase (close variant),how to treat headlice in babies,, +head +lice,1
phrase,best way to get rid of head lice eggs,, +head +lice,1
phrase,home treatment for lice vinegar,, +treatment +for +lice,1
phrase,habitat for head lice,, +head +lice,1
phrase,are head lice eggs white or brown,, +head +lice,1
phrase,face lice treatment,, +lice +treatment,1
broad,best head lice treatment tesco,, +treating +lice,1
phrase,removing head lice,, +head +lice,1
broad,does chlorine kill head lice,, +kill +lice,1
broad,how many treatments for head lice,, +treatment +for +lice,1
exact (close variant),kill lice naturally,,[natural lice killer],1
phrase,if you use head lice solution but don t get all eggs out will they hatch,, +head +lice,1
phrase,lice repellent hair spray,, +lice +repellent,1
broad,how to treat head lice naturally,, +natural +head +lice +treatment,1
phrase (close variant),head liceprevention,, +head +lice,1
phrase,how to wash out all head lice,, +head +lice,1
broad,where can i get my head checked for lice,, +head +lice,1
phrase (close variant),headlice treatment that kills eggs,, +head +lice,1
phrase,head lice dead eggs,, +head +lice,1
phrase,head lice nhs,, +head +lice,1
phrase (close variant),headlice shampoo baby,, +head +lice +shampoo,1
phrase,head lice treatment wilko,, +head +lice,1
broad,natural brand of head lice treatments,, +head +lice +natural +treatment,1
broad,lice furniture spray,, +lice +spray,1
exact (close variant),headlice remover,,[head lice removal],1
phrase (close variant),how to get rid of lice for good and fast,, +getting +rid +of +lice +for +good,1
phrase,head lice medicine,, +head +lice,1
broad,products for headlice an nits uk,, +products +for +lice,1
exact (close variant),treating head lice at home,,[home treatment for head lice],1
phrase,what is good for head lice,, +head +lice,1
phrase,how to stop head lice,, +head +lice,1
broad,how quickly can you get lice,, +how +can +you +get +lice,1
phrase,fastest removal of head lice,, +head +lice,1
phrase,how to remove lice from hair permanently,, +remove +lice,1
phrase,how do you know head lice are dead,, +head +lice,1
broad,shampoo for lice boots warrington,, +lice +shampoo,1
phrase (close variant),headlice lifecycle,, +head +lice,1
phrase,head lice symptoms nhs,, +lice +symptoms,1
phrase,music to new lice treatment ad,, +new +lice +treatment,1
phrase,how do u know if you got head lice,, +head +lice,1
phrase,how to catch head lice,, +head +lice,1
exact (close variant),nits and head lice treatment,,[treatment for head lice and nits],1
broad,can head lice come back after treatment,, +treating +lice,1
broad,will lice treatment work straight away,, +treating +lice,1
broad,headlice treatment for children with ecemer,, +head +lice +children,1
broad,how to prevent head loce uk,, +prevent +lice,1
phrase,moorland road pharmacy hair lice,, +hair +lice,1
phrase,witch hazel lice spray,, +lice +spray,1
phrase,head lice cyclr,, +head +lice,1
broad,can t seem to get rid of head lice,, +head +lice +rid,1
phrase,head lice shampoo boots,, +head +lice,1
broad,does straightening hair get rid of lice,, +hair +lice,1
phrase,treatment for head lice in hair 10 year old,, +lice +in +hair,1
phrase,head lice when pregnant,, +head +lice,1
phrase,head lice hoover,, +head +lice,1
broad,shampoo for head lice uk,, +lice +shampoo,1
phrase,genital lice shampoo,, +lice +shampoo,1
phrase,head lice deterrent spray boots,, +lice +deterrent,1
phrase,how to remove lice from hair in one day,, +remove +lice,1
phrase,the best head lice treatment,, +head +lice,1
phrase,head lice protection,, +lice +protection,1
broad,how to get rid of lice and lice eggs,, +rid +lice,1
