Category,Advertiser Currency,Impressions,Clicks,Total Conversions,Post-Click Conversions,Post-View Conversions,Revenue (Adv Currency)
/Beauty & Fitness/Hair Care/Hair Loss,GBP,1223,1,1.00,0.00,1.00,12.144433
/Law & Government/Public Safety/Security Products & Services,GBP,286,1,0.00,0.00,0.00,2.283168
/Reference/Geographic Reference/Maps,GBP,2374,1,0.00,0.00,0.00,16.768144
/World Localities/Africa/Southern Africa/South Africa/Johannesburg,GBP,10,0,0.00,0.00,0.00,0.124116
/World Localities/Asia/West Asia/United Arab Emirates,GBP,323,1,0.00,0.00,0.00,2.915332
/World Localities/Europe/Mediterranean Europe/Italy/Tuscany/Florence,GBP,105,0,1.00,0.00,1.00,0.652579
/World Localities/Europe/Mediterranean Europe/Portugal/Azores & Madeira,GBP,35,0,0.00,0.00,0.00,0.396134
/Arts & Entertainment/Music & Audio/Music Education & Instruction,GBP,144,0,0.00,0.00,0.00,1.289536
/Business & Industrial/Agriculture & Forestry/Agricultural Equipment,GBP,66,0,0.00,0.00,0.00,0.485166
/Computers & Electronics/Software/Multimedia Software/Audio & Music Software/Audio Files Formats & Codecs,GBP,8,0,0.00,0.00,0.00,0.074482
/Jobs & Education/Education/Primary & Secondary Schooling (K-12),GBP,16780,16,6.00,0.00,6.00,109.040357
/News/Politics,GBP,80993,105,70.00,0.00,70.00,660.780316
/World Localities/Latin America/Central America/Mexico/Yucat��n Peninsula/Quintana Roo,GBP,52,0,0.00,0.00,0.00,0.483407
/Business & Industrial/Business Finance/Commercial Lending,GBP,185,0,0.00,0.00,0.00,1.365960
/Finance/Accounting & Auditing/Tax Preparation & Planning,GBP,13063,7,11.00,0.00,11.00,86.815311
/Arts & Entertainment/Humor/Political Humor,GBP,60,0,0.00,0.00,0.00,0.482005
/World Localities/Europe/Mediterranean Europe/Italy/Lazio,GBP,264,0,2.00,0.00,2.00,2.085514
/Law & Government/Government/Public Policy,GBP,5,0,0.00,0.00,0.00,0.043429
/Shopping/Gifts & Special Event Items/Cards & Greetings,GBP,580,0,3.00,0.00,3.00,5.348221
/Shopping/Mass Merchants & Department Stores,GBP,3024,6,0.00,0.00,0.00,23.973524
/World Localities/Asia/Southeast Asia/Malaysia/Kuala Lumpur,GBP,97,1,0.00,0.00,0.00,0.908248
/World Localities/Oceania/Australia,GBP,347,0,1.00,0.00,1.00,2.632331
/Health/Reproductive Health/Sexually Transmitted Diseases,GBP,104,0,0.00,0.00,0.00,0.937351
/Internet & Telecom/Teleconferencing,GBP,17,0,0.00,0.00,0.00,0.128496
/People & Society/Family & Relationships,GBP,44115,32,15.00,0.00,15.00,364.671605
