Category,Advertiser Currency,Impressions,Clicks,Total Conversions,Post-Click Conversions,Post-View Conversions,Revenue (Adv Currency)
/Finance/Insurance/Travel Insurance,GBP,105,0,0.00,0.00,0.00,0.702054
/World Localities/Europe/Mediterranean Europe/Italy/Basilicata,GBP,5,0,0.00,0.00,0.00,0.050731
/World Localities/North America/Canada/Quebec/Quebec City,GBP,10,0,0.00,0.00,0.00,0.072799
/Computers & Electronics/Programming/Development Tools,GBP,49,0,0.00,0.00,0.00,0.371853
/Games/Board Games,GBP,223,0,0.00,0.00,0.00,1.631813
/Health/Public Health/Occupational Health & Safety,GBP,239,0,0.00,0.00,0.00,1.930927
/Shopping/Apparel/Casual Apparel,GBP,2746,4,6.00,0.00,6.00,29.029539
/Travel/Tourist Destinations/Lakes & Rivers,GBP,1413,1,1.00,0.00,1.00,10.140521
/World Localities/Latin America/Caribbean/Cayman Islands,GBP,9,0,0.00,0.00,0.00,0.076205
/World Localities/Latin America/South America,GBP,535,1,1.00,0.00,1.00,4.328842
/Arts & Entertainment/Music & Audio/Music Equipment & Technology/Samples & Sound Libraries,GBP,7,0,0.00,0.00,0.00,0.073406
/Business & Industrial/Energy & Utilities/Waste Management,GBP,815,1,0.00,0.00,0.00,6.448743
/Food & Drink/Food & Grocery Retailers,GBP,5837,9,4.00,0.00,4.00,41.127304
/Autos & Vehicles/Vehicle Brands/Honda,GBP,74,0,0.00,0.00,0.00,0.552753
/Home & Garden/Kitchen & Dining/Small Kitchen Appliances/Coffee & Espresso Makers,GBP,449,0,0.00,0.00,0.00,4.007407
/Real Estate/Property Inspections & Appraisals,GBP,472,0,0.00,0.00,0.00,3.167987
/Shopping/Toys/Stuffed Toys,GBP,109,0,0.00,0.00,0.00,1.111946
/World Localities/Europe/Western Europe/France/South West France/Midi-Pyr��n��es,GBP,2,0,0.00,0.00,0.00,0.015754
/Arts & Entertainment/Music & Audio/Experimental & Industrial Music,GBP,45,0,0.00,0.00,0.00,0.349344
/Health/Health Conditions/Obesity,GBP,537,0,0.00,0.00,0.00,4.134923
/Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events/Birthdays & Name Days,GBP,283,0,0.00,0.00,0.00,2.692964
/World Localities/Africa/Southern Africa/South Africa,GBP,388,0,0.00,0.00,0.00,3.359468
/World Localities/North America/Bermuda,GBP,5,0,0.00,0.00,0.00,0.042383
/Health/Vision Care/Eye Exams & Optometry,GBP,52,0,0.00,0.00,0.00,0.353457
/Internet & Telecom/Mobile & Wireless,GBP,14892,11,5.00,0.00,5.00,110.416046
/People & Society/Social Issues & Advocacy/Immigration Policy & Border Issues,GBP,4243,9,2.00,0.00,2.00,32.178141
/World Localities/Europe/Central & Eastern Europe/Poland,GBP,67,0,0.00,0.00,0.00,0.506263
/Autos & Vehicles/Vehicle Brands/Toyota,GBP,94,0,1.00,0.00,1.00,0.679733
/Food & Drink/Food/Baked Goods,GBP,24847,23,14.00,0.00,14.00,190.820793
/Shopping/Apparel/Formal Wear,GBP,4101,3,17.00,0.00,17.00,41.044327
/World Localities/Europe/Central & Eastern Europe/Germany/Hesse/Frankfurt,GBP,10,0,0.00,0.00,0.00,0.046704
/Autos & Vehicles/Bicycles & Accessories/Road Bikes,GBP,129,0,0.00,0.00,0.00,0.564595
/Autos & Vehicles/Vehicle Codes & Driving Laws/Drunk Driving Law,GBP,49,0,0.00,0.00,0.00,0.332145
/Computers & Electronics/Electronics & Electrical/Power Supplies,GBP,251,0,0.00,0.00,0.00,2.108490
/Finance/Insurance/Vehicle Insurance/Auto Insurance,GBP,713,0,0.00,0.00,0.00,4.684807
/World Localities/Latin America/South America/Brazil/Northeast Brazil/Pernambuco,GBP,3,0,0.00,0.00,0.00,0.051379
/World Localities/Oceania/Australia/Northern Territory,GBP,2,0,0.00,0.00,0.00,0.006758
/Autos & Vehicles/Vehicle Brands/Pontiac,GBP,22,0,0.00,0.00,0.00,0.141987
/Food & Drink/Cooking & Recipes/Cuisines/Mediterranean Cuisine/Greek Cuisine,GBP,113,0,0.00,0.00,0.00,0.764800
/Games/Computer & Video Games/Gaming Media & Reference,GBP,283,0,0.00,0.00,0.00,1.840940
/Games/Computer & Video Games/Simulation Games/City Building Games,GBP,2,0,0.00,0.00,0.00,0.020280
/Jobs & Education/Education/Distance Learning,GBP,214,0,0.00,0.00,0.00,1.873980
/Real Estate/Real Estate Agencies,GBP,1935,1,1.00,0.00,1.00,14.077531
/World Localities/Africa/Western Africa,GBP,258,1,0.00,0.00,0.00,2.207942
/World Localities/Europe/Western Europe/United Kingdom/England/South East England,GBP,2185,1,4.00,0.00,4.00,18.365780
/World Localities/North America/USA/California/Southern California,GBP,385,2,1.00,0.00,1.00,3.207246
/Autos & Vehicles/Vehicle Brands/GMC,GBP,5,0,0.00,0.00,0.00,0.039769
/Pets & Animals/Pets,GBP,5687,4,2.00,0.00,2.00,47.634316
/Travel/Specialty Travel,GBP,2441,1,2.00,0.00,2.00,19.086098
/World Localities/Europe/Nordic Countries/Sweden/Stockholm,GBP,54,0,0.00,0.00,0.00,0.448290
/World Localities/Europe/Western Europe/United Kingdom/England/Yorkshire/Sheffield,GBP,4,0,0.00,0.00,0.00,0.023296
/Arts & Entertainment/Music & Audio/Radio,GBP,1570,1,0.00,0.00,0.00,9.954351
/Autos & Vehicles,GBP,12197,10,6.00,0.00,6.00,88.976093
/Beauty & Fitness/Fashion & Style/Fashion Modeling,GBP,8006,6,13.00,0.00,13.00,80.479882
/Finance/Credit & Lending/Loans/Home Financing/Home Refinancing,GBP,186,0,0.00,0.00,0.00,1.183354
/Food & Drink/Cooking & Recipes/Cuisines/Southeast Asian Cuisine/Thai Cuisine,GBP,2003,1,0.00,0.00,0.00,17.190820
/Internet & Telecom/Search Engines/People Search,GBP,51,0,0.00,0.00,0.00,0.495882
/Shopping/Apparel/Uniforms & Workwear,GBP,318,0,2.00,0.00,2.00,3.160727
/World Localities/Asia/Russia & CIS,GBP,71,0,0.00,0.00,0.00,0.589885
/Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events/Jewish Holidays,GBP,34,0,0.00,0.00,0.00,0.329260
/Sports/World Sports Competitions,GBP,1677,4,1.00,0.00,1.00,12.915430
/World Localities/North America/USA/California/Southern California/Inland Empire,GBP,39,0,1.00,0.00,1.00,0.350988
/Arts & Entertainment/Movies/DVD & Video Shopping/DVD & Video Rentals,GBP,58,0,0.00,0.00,0.00,0.419022
/Autos & Vehicles/Vehicle Codes & Driving Laws,GBP,2656,1,0.00,0.00,0.00,20.116692
/Business & Industrial/Transportation & Logistics/Mail & Package Delivery/Couriers & Messengers,GBP,160,0,0.00,0.00,0.00,1.226649
/Science/Computer Science/Machine Learning & Artificial Intelligence,GBP,559,2,1.00,0.00,1.00,4.523264
/World Localities/Africa/Northern Africa/Algeria,GBP,5,0,0.00,0.00,0.00,0.040612
/Autos & Vehicles/Commercial Vehicles/Cargo Trucks & Trailers,GBP,27,0,0.00,0.00,0.00,0.247378
/Health/Medical Literature & Resources,GBP,2845,1,0.00,0.00,0.00,17.689907
/Jobs & Education/Education/Alumni & Reunions,GBP,58,0,0.00,0.00,0.00,0.450604
/News,GBP,310589,295,204.00,0.00,204.00,2206.144458
/World Localities/Latin America/South America/Brazil,GBP,144,0,0.00,0.00,0.00,1.355887
/Autos & Vehicles/Vehicle Brands/Ford,GBP,380,1,0.00,0.00,0.00,3.139363
/News/Business News/Financial Markets,GBP,17236,17,7.00,0.00,7.00,110.566876
/People & Society/Social Issues & Advocacy/Same-Sex Marriage,GBP,24,0,0.00,0.00,0.00,0.202001
/Shopping/Apparel/Formal Wear/Bridal Wear,GBP,3726,3,17.00,0.00,17.00,37.143591
/World Localities/Asia/Russia & CIS/Russian Federation,GBP,61,0,0.00,0.00,0.00,0.505033
/World Localities/Asia/West Asia/Turkey/Marmara Region/Istanbul,GBP,4,0,0.00,0.00,0.00,0.024445
/World Localities/Europe/Western Europe/France/South East France/Provence-Alpes-C��te d'Azur/Marseille,GBP,6,0,0.00,0.00,0.00,0.049008
/World Localities/North America/USA/Southwest (USA)/Nevada/Las Vegas,GBP,185,1,0.00,0.00,0.00,1.352844
/Law & Government/Military/Air Force,GBP,395,0,0.00,0.00,0.00,3.092821
/Science/Chemistry,GBP,551,0,0.00,0.00,0.00,5.127061
/Shopping,GBP,76701,105,158.00,0.00,158.00,703.360834
/Sports/Team Sports/Cricket,GBP,13110,9,4.00,0.00,4.00,77.438129
/World Localities/Oceania/Australia/Victoria (AU),GBP,8,0,0.00,0.00,0.00,0.070204
/Arts & Entertainment/Entertainment Industry/Film & TV Industry/Film & TV Awards,GBP,12867,20,27.00,0.00,27.00,113.100062
/Hobbies & Leisure/Special Occasions,GBP,20966,22,21.00,0.00,21.00,186.950422
/Law & Government/Government/Government Contracting & Procurement,GBP,16,0,0.00,0.00,0.00,0.113768
/Arts & Entertainment/Fun & Trivia/Flash-Based Entertainment,GBP,987,1,0.00,0.00,0.00,4.480652
/Business & Industrial/Business Operations/Management/Strategic Planning,GBP,717,1,0.00,0.00,0.00,5.261772
/News/Gossip & Tabloid News,GBP,10451,8,5.00,0.00,5.00,82.560643
/World Localities/Europe/Central & Eastern Europe/Germany/Bavaria/Munich,GBP,17,0,0.00,0.00,0.00,0.124364
/Hobbies & Leisure/Recreational Aviation,GBP,48,0,0.00,0.00,0.00,0.354439
/People & Society/Ethnic & Identity Groups/Jewish Culture,GBP,358,0,0.00,0.00,0.00,2.697729
/World Localities/Latin America/Central America/Mexico/Pacific Coast (Mexico),GBP,5,0,0.00,0.00,0.00,0.052946
/Business & Industrial/Energy & Utilities/Renewable & Alternative Energy/Wind Power,GBP,35,0,0.00,0.00,0.00,0.217047
/Jobs & Education/Education/Colleges & Universities,GBP,9702,8,6.00,0.00,6.00,78.847698
/World Localities/Latin America/Caribbean/Saint Vincent & Grenadines,GBP,9,0,0.00,0.00,0.00,0.101293
/Arts & Entertainment/Events & Listings/Film Festivals,GBP,413,0,0.00,0.00,0.00,3.855644
/Beauty & Fitness/Hair Care,GBP,40233,32,57.00,0.00,57.00,413.514044
/Business & Industrial/Construction & Maintenance/Building Materials & Supplies/Wood & Plastics,GBP,129,0,0.00,0.00,0.00,1.263490
/News/Business News/Company News/Mergers & Acquisitions,GBP,189,0,0.00,0.00,0.00,1.609157
/World Localities/Asia/Russia & CIS/Russian Federation/Northwestern Russia,GBP,10,0,0.00,0.00,0.00,0.063184
/World Localities/Asia/South Asia/India/West India/Goa,GBP,3,0,0.00,0.00,0.00,0.012952
/World Localities/Asia/South Asia/India/South India/Karnataka/Bangalore,GBP,1,0,0.00,0.00,0.00,0.008920
/World Localities/Europe/Western Europe/France/North France/Upper Normandy,GBP,1,0,0.00,0.00,0.00,0.011130
/Business & Industrial/Business Services/Office Services/Office & Facilities Management,GBP,2,0,0.00,0.00,0.00,0.014970
/Science/Engineering & Technology,GBP,1297,3,0.00,0.00,0.00,10.373691
/Sports/Sporting Goods/Ice Skating Equipment,GBP,66,0,0.00,0.00,0.00,0.482208
/World Localities/Europe/Mediterranean Europe/Italy/Tuscany,GBP,352,0,2.00,0.00,2.00,3.180380
/World Localities/North America/USA/South (USA),GBP,360,1,0.00,0.00,0.00,3.278616
/Food & Drink/Cooking & Recipes/Cuisines/East Asian Cuisine/Chinese Cuisine,GBP,489,0,1.00,0.00,1.00,3.773632
/Jobs & Education/Education/Training & Certification,GBP,96,0,0.00,0.00,0.00,0.779541
/Science/Biological Sciences/Anatomy,GBP,362,1,1.00,0.00,1.00,3.372333
/Shopping/Swap Meets & Outdoor Markets,GBP,623,1,0.00,0.00,0.00,4.545660
/World Localities/Asia/Southeast Asia/Cambodia,GBP,151,0,1.00,0.00,1.00,0.968379
/Arts & Entertainment/Music & Audio,GBP,41446,45,39.00,0.00,39.00,357.236327
/Arts & Entertainment/TV & Video/TV Networks & Stations,GBP,2270,3,0.00,0.00,0.00,16.886895
/Autos & Vehicles/Vehicle Brands/Saturn,GBP,2,0,0.00,0.00,0.00,0.010421
/Autos & Vehicles/Vehicle Shopping,GBP,3119,4,0.00,0.00,0.00,20.876933
/Beauty & Fitness/Face & Body Care,GBP,71710,66,119.00,0.00,119.00,755.269870
/Computers & Electronics/Consumer Electronics/Audio Equipment/Headphones,GBP,587,0,0.00,0.00,0.00,4.773546
/Home & Garden/Laundry,GBP,1331,4,0.00,0.00,0.00,14.150382
/Travel/Tourist Destinations/Zoos-Aquariums-Preserves,GBP,338,0,0.00,0.00,0.00,2.972772
/World Localities/Latin America/Caribbean/Dominican Republic,GBP,10,0,0.00,0.00,0.00,0.090003
/World Localities/Latin America/South America/Venezuela,GBP,10,0,0.00,0.00,0.00,0.095119
/People & Society/Social Issues & Advocacy/Ethics,GBP,64,0,0.00,0.00,0.00,0.493485
/Science/Biological Sciences/Flora & Fauna,GBP,2409,2,0.00,0.00,0.00,19.470839
/World Localities/Latin America/Central America/Mexico/Baja California/Los Cabos,GBP,13,0,0.00,0.00,0.00,0.131243
/World Localities/North America/USA/South (USA)/Georgia (USA)/Atlanta,GBP,42,0,0.00,0.00,0.00,0.382163
/Games/Arcade & Coin-Op Games,GBP,39,0,0.00,0.00,0.00,0.405966
/Home & Garden/Domestic Services,GBP,6020,8,1.00,0.00,1.00,64.997589
/World Localities/Europe/Western Europe/France/East France/Champagne-Ardenne,GBP,1,0,0.00,0.00,0.00,0.011024
/World Localities/North America/USA/Mid-Atlantic (USA)/Delaware,GBP,1,0,0.00,0.00,0.00,0.005423
/Arts & Entertainment/Entertainment Industry/Film & TV Industry/Film & TV Production,GBP,472,1,0.00,0.00,0.00,4.225863
/Business & Industrial/Small Business/Home Office,GBP,641,0,0.00,0.00,0.00,5.209755
/World Localities/Europe/Western Europe/France/Central France,GBP,7,0,0.00,0.00,0.00,0.056001
/Arts & Entertainment/Offbeat,GBP,7838,8,5.00,0.00,5.00,57.300936
/Arts & Entertainment/Visual Art & Design/Architecture,GBP,5701,5,4.00,0.00,4.00,50.355755
/Business & Industrial/Advertising & Marketing,GBP,6882,11,3.00,0.00,3.00,53.953459
/Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons/Ringtones & Mobile Themes,GBP,3,0,0.00,0.00,0.00,0.016384
/World Localities/Europe/Western Europe/France/South East France/Provence-Alpes-C��te d'Azur,GBP,162,0,1.00,0.00,1.00,1.571449
/Food & Drink/Food/Gourmet & Specialty Foods,GBP,233,0,0.00,0.00,0.00,2.087703
/Games/Computer & Video Games/Simulation Games/Vehicle Simulators,GBP,2,0,0.00,0.00,0.00,0.011637
/Shopping/Toys/Building Toys,GBP,239,0,0.00,0.00,0.00,2.089906
/Sports/Team Sports/American Football,GBP,9386,14,8.00,0.00,8.00,73.934176
/World Localities/Asia/Central Asia/Kazakhstan,GBP,3,0,0.00,0.00,0.00,0.024985
/World Localities/Asia/East Asia/North Korea,GBP,30,0,0.00,0.00,0.00,0.279586
/World Localities/North America/USA/Mid-Atlantic (USA),GBP,5583,4,6.00,0.00,6.00,48.421362
/World Localities/Asia/West Asia/Kuwait,GBP,2,0,0.00,0.00,0.00,0.016407
/World Localities/North America/USA/Midwest (USA)/Missouri,GBP,10,0,0.00,0.00,0.00,0.105232
/Autos & Vehicles/Personal Aircraft,GBP,128,0,0.00,0.00,0.00,0.965918
/Sports/Water Sports,GBP,611,1,1.00,0.00,1.00,4.924709
/World Localities/Europe/Mediterranean Europe/Italy/Emilia-Romagna,GBP,37,0,0.00,0.00,0.00,0.414130
/World Localities/Latin America/Caribbean/Saint Lucia,GBP,25,1,0.00,0.00,0.00,0.202948
/World Localities/Latin America/Central America/Mexico/Pacific Coast (Mexico)/Oaxaca,GBP,2,0,0.00,0.00,0.00,0.016987
/Home & Garden/Home Furnishings/Rugs & Carpets,GBP,509,1,0.00,0.00,0.00,4.932597
/World Localities/Latin America/Central America/Costa Rica,GBP,69,0,0.00,0.00,0.00,0.540923
/World Localities/Latin America/South America/Chile,GBP,103,0,0.00,0.00,0.00,0.673746
/Reference/Directories & Listings/Business & Personal Listings,GBP,344,0,0.00,0.00,0.00,3.749085
/Autos & Vehicles/Vehicle Brands/SEAT,GBP,75,0,0.00,0.00,0.00,0.520071
/Health/Vision Care,GBP,903,2,0.00,0.00,0.00,9.150213
/Home & Garden/Kitchen & Dining/Small Kitchen Appliances/Food Processors,GBP,93,0,0.00,0.00,0.00,0.851408
/Shopping/Toys,GBP,1255,1,3.00,0.00,3.00,10.877274
/World Localities/Europe/Mediterranean Europe/Italy/Piedmont/Turin,GBP,3,0,0.00,0.00,0.00,0.043383
/Computers & Electronics/Software/Internet Software,GBP,298,0,0.00,0.00,0.00,2.772120
/Computers & Electronics/Software/Operating Systems/Mobile OS/BlackBerry OS,GBP,21,0,0.00,0.00,0.00,0.156981
/Finance/Credit & Lending/Loans/Home Financing,GBP,6610,2,0.00,0.00,0.00,43.162655
/Shopping/Apparel/Headwear,GBP,571,1,2.00,0.00,2.00,5.259995
/World Localities/Africa/Northern Africa/Tunisia,GBP,14,0,0.00,0.00,0.00,0.093098
/World Localities/Latin America/Central America/Mexico/Central Mexico/Guanajuato,GBP,4,0,0.00,0.00,0.00,0.040634
/Business & Industrial/Energy & Utilities/Nuclear Energy,GBP,80,0,0.00,0.00,0.00,0.626947
/Food & Drink/Cooking & Recipes,GBP,100360,96,80.00,0.00,80.00,768.972235
/Law & Government/Legal,GBP,7501,6,5.00,0.00,5.00,57.528622
/News/Business News/Fiscal Policy News,GBP,637,0,1.00,0.00,1.00,4.826078
/People & Society/Social Issues & Advocacy/Human Rights & Liberties,GBP,338,0,0.00,0.00,0.00,3.177202
/Business & Industrial/Pharmaceuticals & Biotech,GBP,873,0,1.00,0.00,1.00,7.317026
/Food & Drink/Restaurants/Dining Guides,GBP,5877,2,16.00,0.00,16.00,49.541035
/Arts & Entertainment/Entertainment Industry/Recording Industry,GBP,10000,6,2.00,0.00,2.00,89.814634
/Computers & Electronics/Consumer Electronics/Camera & Photo Equipment/Cameras & Camcorders/Camcorders,GBP,92,0,0.00,0.00,0.00,0.818969
/News/Politics/Political Polls & Surveys,GBP,421,0,0.00,0.00,0.00,3.370964
/Shopping/Consumer Resources/Customer Services,GBP,1217,2,2.00,0.00,2.00,8.463717
/Arts & Entertainment/Music & Audio/Music Videos,GBP,912,2,0.00,0.00,0.00,7.885332
/People & Society/Social Sciences/Demographics,GBP,4542,6,5.00,0.00,5.00,39.753557
/World Localities/Europe/Central & Eastern Europe/Switzerland/Zurich,GBP,22,0,0.00,0.00,0.00,0.224272
/World Localities/Asia/Southeast Asia/Indonesia/Western New Guinea,GBP,1,0,0.00,0.00,0.00,0.010000
/World Localities/North America/USA/Midwest (USA)/Michigan/Detroit,GBP,35,0,0.00,0.00,0.00,0.305460
/Business & Industrial/Chemicals Industry/Agrochemicals,GBP,62,0,0.00,0.00,0.00,0.525980
/Shopping/Consumer Resources/Customer Services/Technical Support,GBP,331,2,1.00,0.00,1.00,2.305414
/World Localities/North America/USA/Pacific Northwest/Oregon/Portland (OR),GBP,58,0,0.00,0.00,0.00,0.565889
/Arts & Entertainment/Music & Audio/Urban & Hip-Hop/Reggaeton,GBP,10,0,0.00,0.00,0.00,0.068188
/Autos & Vehicles/Commercial Vehicles,GBP,36,0,0.00,0.00,0.00,0.327814
/Business & Industrial/Business Services/Corporate Events/Trade Fairs & Industry Shows,GBP,92,0,1.00,0.00,1.00,0.682864
/Business & Industrial/Hospitality Industry/Food Service,GBP,296,1,0.00,0.00,0.00,2.266973
/Food & Drink/Food/Condiments & Dressings,GBP,777,1,2.00,0.00,2.00,5.984827
/Health/Reproductive Health/Sexual Enhancement,GBP,70,0,0.00,0.00,0.00,0.472307
/Home & Garden/Kitchen & Dining/Major Kitchen Appliances/Refrigerators & Freezers,GBP,95,0,0.00,0.00,0.00,0.987290
/Health/Medical Facilities & Services/Medical Procedures/Medical Tests & Exams,GBP,437,1,0.00,0.00,0.00,3.839593
/People & Society/Social Issues & Advocacy/Reproductive Rights,GBP,50,1,0.00,0.00,0.00,0.378784
/World Localities/North America/USA/Great Plains (USA)/Oklahoma/Tulsa,GBP,1,0,0.00,0.00,0.00,0.009997
/World Localities/North America/USA/South (USA)/Kentucky,GBP,10,0,0.00,0.00,0.00,0.096775
/Games/Table Games/Table Tennis,GBP,7,0,0.00,0.00,0.00,0.059471
/Home & Garden/Home Improvement/Plumbing,GBP,451,0,0.00,0.00,0.00,3.023936
/Pets & Animals/Animal Products & Services,GBP,2475,0,0.00,0.00,0.00,20.444330
/Arts & Entertainment/TV & Video/TV Guides & Reference,GBP,2634,4,0.00,0.00,0.00,19.466274
/Shopping/Apparel/Sleepwear,GBP,185,0,0.00,0.00,0.00,1.663965
/Arts & Entertainment/Movies/Musical Films,GBP,382,0,0.00,0.00,0.00,2.933728
/Finance/Credit & Lending/Credit Reporting & Monitoring,GBP,502,1,0.00,0.00,0.00,3.399313
/Health/Vision Care/Eyeglasses & Contacts,GBP,326,0,0.00,0.00,0.00,3.096585
/Pets & Animals/Pets/Rabbits & Rodents,GBP,86,2,0.00,0.00,0.00,0.667734
/World Localities/Europe/Central & Eastern Europe,GBP,1073,0,1.00,0.00,1.00,8.682776
/World Localities/Europe/Central & Eastern Europe/Eastern Europe/Ukraine/Kiev,GBP,1,0,0.00,0.00,0.00,0.011264
/World Localities/Oceania/Australia/Victoria (AU)/Melbourne,GBP,7,0,0.00,0.00,0.00,0.059074
/Arts & Entertainment/Humor,GBP,8526,8,6.00,0.00,6.00,72.572334
/Computers & Electronics/Computer Security/Antivirus & Malware,GBP,174,0,0.00,0.00,0.00,1.340885
/Internet & Telecom/Web Portals,GBP,67,0,0.00,0.00,0.00,0.614243
/Reference/Language Resources/Foreign Language Resources/Foreign Language Study,GBP,671,0,0.00,0.00,0.00,5.564296
/World Localities/Africa,GBP,1891,2,3.00,0.00,3.00,16.106278
/World Localities/Latin America/Caribbean/Haiti,GBP,17,0,0.00,0.00,0.00,0.129224
/Jobs & Education/Jobs/Career Resources & Planning,GBP,18014,16,8.00,0.00,8.00,143.148645
/World Localities/North America/USA/California/Southern California/San Diego,GBP,6,0,0.00,0.00,0.00,0.059391
/Arts & Entertainment/Events & Listings/Concerts & Music Festivals,GBP,2737,2,1.00,0.00,1.00,21.725254
/Computers & Electronics/Software/Business & Productivity Software/Presentation Software,GBP,94,0,0.00,0.00,0.00,0.693121
/Food & Drink/Cooking & Recipes/Cuisines/South Asian Cuisine/Indian Cuisine,GBP,2970,0,5.00,0.00,5.00,24.162054
/Hobbies & Leisure/Outdoors/Fishing,GBP,233,0,1.00,0.00,1.00,1.797005
/Home & Garden/Kitchen & Dining/Major Kitchen Appliances/Dishwashers,GBP,83,1,0.00,0.00,0.00,0.913842
/Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons/iOS Apps,GBP,691,1,0.00,0.00,0.00,5.064152
/Science/Mathematics/Statistics,GBP,236,0,0.00,0.00,0.00,1.953648
/Sports/Sporting Goods/Gymnastics Equipment,GBP,13,0,0.00,0.00,0.00,0.092917
/Arts & Entertainment/TV & Video/Online Video/Web Series,GBP,5,0,0.00,0.00,0.00,0.047955
/Health/Medical Facilities & Services/Medical Procedures,GBP,1138,2,0.00,0.00,0.00,9.714714
/Health/Pediatrics,GBP,125,0,0.00,0.00,0.00,1.058123
/World Localities/Asia/South Asia/Indian Ocean Islands/Maldives,GBP,467,0,3.00,0.00,3.00,5.765880
/World Localities/North America/USA/South (USA)/South Carolina/Greater Charleston (SC),GBP,38,0,0.00,0.00,0.00,0.266480
/Jobs & Education/Education/Early Childhood Education,GBP,220,0,0.00,0.00,0.00,1.912742
/Reference/General Reference/Dictionaries & Encyclopedias,GBP,3142,2,2.00,0.00,2.00,26.517785
/World Localities/Europe/Central & Eastern Europe/Germany/Hamburg,GBP,8,0,0.00,0.00,0.00,0.046045
/World Localities/Asia/Russia & CIS/Caucasus,GBP,9,0,0.00,0.00,0.00,0.080211
/World Localities/Asia/Southeast Asia/Malaysia,GBP,246,1,0.00,0.00,0.00,1.944346
/Arts & Entertainment/Movies/Action & Adventure Films/Western Films,GBP,179,1,0.00,0.00,0.00,1.607730
/Computers & Electronics/Consumer Electronics/Gadgets & Portable Electronics/MP3 & Portable Media Players,GBP,63,1,0.00,0.00,0.00,0.574165
/Computers & Electronics/Software/Operating Systems/Linux & Unix,GBP,7,0,0.00,0.00,0.00,0.057110
/Jobs & Education/Jobs/Job Listings/IT & Technical Jobs,GBP,220,0,0.00,0.00,0.00,2.140008
/Business & Industrial/Energy & Utilities/Water Supply & Treatment,GBP,168,0,1.00,0.00,1.00,1.341853
/Health/Mental Health/Learning & Developmental Disabilities,GBP,1074,1,0.00,0.00,0.00,8.294758
/Hobbies & Leisure/Special Occasions/Weddings,GBP,9167,10,15.00,0.00,15.00,86.081885
/News/Politics/Right-Wing Politics,GBP,33721,59,27.00,0.00,27.00,293.922385
/Shopping/Gifts & Special Event Items/Gifts,GBP,4063,0,2.00,0.00,2.00,38.077233
/World Localities/Asia/East Asia/Mongolia,GBP,4,0,0.00,0.00,0.00,0.025952
/People & Society/Family & Relationships/Romance,GBP,20130,11,6.00,0.00,6.00,162.486545
/Computers & Electronics/Consumer Electronics/Audio Equipment/Speakers,GBP,109,0,0.00,0.00,0.00,0.781166
/People & Society/Family & Relationships/Family/Parenting/Adoption,GBP,254,0,0.00,0.00,0.00,2.047030
/Science/Biological Sciences/Genetics,GBP,814,2,1.00,0.00,1.00,7.215110
/World Localities/North America/USA/Midwest (USA)/Michigan,GBP,203,1,0.00,0.00,0.00,1.606446
/World Localities/North America/USA/South (USA)/West Virginia,GBP,1,0,0.00,0.00,0.00,0.010653
/Health/Health Conditions/Eating Disorders,GBP,713,0,0.00,0.00,0.00,5.156759
/Internet & Telecom/Communications Equipment/Radio Equipment,GBP,8,0,0.00,0.00,0.00,0.060296
/People & Society/Religion & Belief/Hinduism,GBP,109,0,0.00,0.00,0.00,1.111472
/World Localities/Asia/East Asia/Macau,GBP,2,0,0.00,0.00,0.00,0.010934
/World Localities/Europe/Western Europe/United Kingdom/England/South West England/Bristol,GBP,32,0,0.00,0.00,0.00,0.250995
/World Localities/North America/USA/Florida/Central Florida,GBP,69,0,0.00,0.00,0.00,0.510343
/Autos & Vehicles/Hybrid & Alternative Vehicles,GBP,1142,2,2.00,0.00,2.00,10.073199
/Autos & Vehicles/Trucks & SUVs/SUVs,GBP,563,0,1.00,0.00,1.00,4.128694
/Business & Industrial/Energy & Utilities/Electricity,GBP,1411,0,0.00,0.00,0.00,9.380928
/World Localities/Latin America/Caribbean/Cuba,GBP,512,0,0.00,0.00,0.00,5.806802
/Arts & Entertainment/TV & Video/TV Shows & Programs/TV Sci-Fi & Fantasy Shows,GBP,3053,3,2.00,0.00,2.00,24.780861
/Autos & Vehicles/Vehicle Brands/Mitsubishi,GBP,31,1,0.00,0.00,0.00,0.160765
/Online Communities,GBP,24584,20,17.00,0.00,17.00,208.031256
/World Localities/Europe/Central & Eastern Europe/Germany/Bremen,GBP,3,0,0.00,0.00,0.00,0.016870
/Arts & Entertainment/Music & Audio/Urban & Hip-Hop/Rap & Hip-Hop,GBP,2772,4,2.00,0.00,2.00,24.291377
/Jobs & Education/Education/Academic Conferences & Publications,GBP,260,0,0.00,0.00,0.00,2.212077
/Law & Government/Government/Visa & Immigration,GBP,8773,8,4.00,0.00,4.00,71.065651
/Law & Government/Public Safety/Crime & Justice/Prisons & Corrections,GBP,480,0,0.00,0.00,0.00,4.123179
/World Localities/Latin America/Caribbean/Saint Kitts & Nevis,GBP,2,0,0.00,0.00,0.00,0.009473
/Autos & Vehicles/Vehicle Brands/Chevrolet,GBP,34,0,0.00,0.00,0.00,0.208292
