Row Labels,Targeting,Recency,Sum of Viewability,Sum of Active View: Measurable Impressions,Sum of Active View: Viewable Impressions,Sum of Impressions,Sum of Quotes,Sum of Spend,Viewgroup
End quote_10 mins_O-CV5S_Aviva_UK_AD_2016_Jan_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_10 minutes_P6H335_VIVAKI AOD_Desktop_300 x 250,End quote,10 mins,#DIV/0!,0,0,0,,0,#DIV/0!
End quote_10 mins_O-CV5S_Aviva_UK_AD_2016_Jan_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 10 minutes_P6H335_VIVAKI AOD_Desktop_300 x 250,End quote,10 mins,#DIV/0!,0,0,0,1,0,#DIV/0!
End quote_24 hours_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 24 Hours_P7B0RC_VIVAKI AOD_Desktop Retargeting_NULL_160 x 600,End quote,24 hours,0.827288154,18858,15601,19543,172,103.324279,70%+
End quote_24 hours_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 24 Hours_P7T5W0_VIVAKI AOD_Retargeting_NULL_160 x 600,End quote,24 hours,0.811898915,19548,15871,19961,154,108.922166,70%+
End quote_24 hours_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 24 Hours_P95QJL_VIVAKI AOD_RON_Retargeting_300 x 250,End quote,24 hours,0.783861671,694,544,706,6,3.669796,70%+
End quote_24 hours_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 24 Hours_P87QGW_VIVAKI AOD_Retargeting_160 x 600,End quote,24 hours,0.776876798,22938,17820,23413,255,120.622315,70%+
End quote_24 hours_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 24 Hours_P8TKF1_VIVAKI AOD_Retargeting_Desktop_300 x 250,End quote,24 hours,0.773609314,773,598,788,13,4.013689,70%+
End quote_24 hours_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 24 Hours_P8TKF3_VIVAKI AOD_Retargeting_Desktop_160 x 600,End quote,24 hours,0.772280081,24293,18761,24878,197,134.509923,70%+
End quote_24 hours_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 24 Hours_P95QJN_VIVAKI AOD_RON_Retargeting_160 x 600,End quote,24 hours,0.755518344,26276,19852,26981,168,139.392622,70%+
End quote_24 hours_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 24 Hours_P7T5VZ_VIVAKI AOD_Retargeting_NULL_300 x 250,End quote,24 hours,0.749419954,431,323,445,,2.167985,70%+
End quote_24 hours_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 24 Hours_P87QGT_VIVAKI AOD_Retargeting_300 x 250,End quote,24 hours,0.694976077,836,581,862,10,4.39628,60%+
End quote_24 hours_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 24 Hours_P7T5VZ_VIVAKI AOD_Retargeting_NULL_300 x 250,End quote,24 hours,0.653009214,5101,3331,5675,22,39.187151,60%+
End quote_24 hours_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 24 Hours_P87QGW_VIVAKI AOD_Retargeting_160 x 600,End quote,24 hours,0.652166992,25127,16387,25589,141,108.935168,60%+
End quote_24 hours_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 24 Hours_P8TKF3_VIVAKI AOD_Retargeting_Desktop_160 x 600,End quote,24 hours,0.637098125,23888,15219,24389,160,106.798381,60%+
End quote_24 hours_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 24 Hours_P7B0RC_VIVAKI AOD_Desktop Retargeting_NULL_160 x 600,End quote,24 hours,0.634253663,20681,13117,21036,147,78.696908,60%+
End quote_24 hours_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 24 Hours_P87QGT_VIVAKI AOD_Retargeting_300 x 250,End quote,24 hours,0.63271824,5636,3566,6388,52,41.152562,60%+
End quote_24 hours_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 24 Hours_P7B0R6_VIVAKI AOD_Desktop Retargeting_NULL_300 x 250,End quote,24 hours,0.628525122,6170,3878,7027,43,49.944649,60%+
End quote_24 hours_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 24 Hours_P7T5W0_VIVAKI AOD_Retargeting_NULL_160 x 600,End quote,24 hours,0.628028297,25303,15891,25968,163,107.439735,60%+
End quote_24 hours_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 24 Hours_P7B0R6_VIVAKI AOD_Desktop Retargeting_NULL_300 x 250,End quote,24 hours,0.62585034,294,184,319,7,1.44086,60%+
End quote_24 hours_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 24 Hours_P95QJN_VIVAKI AOD_RON_Retargeting_160 x 600,End quote,24 hours,0.625774135,32940,20613,33881,200,138.935235,60%+
End quote_24 hours_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 24 Hours_P7T5W0_VIVAKI AOD_Retargeting_NULL_160 x 600,End quote,24 hours,0.624708625,858,536,866,,5.807306,60%+
End quote_24 hours_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 24 Hours_P87QGW_VIVAKI AOD_Retargeting_160 x 600,End quote,24 hours,0.606523248,1441,874,1477,7,6.928608,60%+
End quote_24 hours_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 24 Hours_P87QGT_VIVAKI AOD_Retargeting_300 x 250,End quote,24 hours,0.599731903,3730,2237,3856,35,22.691692,50%+
End quote_24 hours_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 24 Hours_P8TKF1_VIVAKI AOD_Retargeting_Desktop_300 x 250,End quote,24 hours,0.596157997,4633,2762,5358,31,37.68174,50%+
End quote_24 hours_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 24 Hours_P95QJL_VIVAKI AOD_RON_Retargeting_300 x 250,End quote,24 hours,0.588330438,66772,39284,69055,356,308.493252,50%+
End quote_24 hours_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 24 Hours_P87QGT_VIVAKI AOD_Retargeting_300 x 250,End quote,24 hours,0.585417974,51008,29861,52301,414,233.36708,50%+
End quote_24 hours_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 24 Hours_P8TKF1_VIVAKI AOD_Retargeting_Desktop_300 x 250,End quote,24 hours,0.577519455,51271,29610,52804,289,235.836898,50%+
End quote_24 hours_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 24 Hours_P95QJN_VIVAKI AOD_RON_Retargeting_160 x 600,End quote,24 hours,0.577235772,738,426,745,6,3.069374,50%+
End quote_24 hours_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 24 Hours_P7B0RC_VIVAKI AOD_Desktop Retargeting_NULL_160 x 600,End quote,24 hours,0.568367347,980,557,981,32,4.902069,50%+
End quote_24 hours_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 24 Hours_P7T5VY_VIVAKI AOD_Retargeting_NULL_728 x 90,End quote,24 hours,0.56435441,9774,5516,10783,45,76.204259,50%+
End quote_24 hours_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 24 Hours_P95QJL_VIVAKI AOD_RON_Retargeting_300 x 250,End quote,24 hours,0.562040816,7350,4131,8310,20,59.838547,50%+
End quote_24 hours_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 24 Hours_P8TKF3_VIVAKI AOD_Retargeting_Desktop_160 x 600,End quote,24 hours,0.556426332,638,355,639,2,2.872205,50%+
End quote_24 hours_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 24 Hours_P7B0R6_VIVAKI AOD_Desktop Retargeting_NULL_300 x 250,End quote,24 hours,0.554837313,32332,17939,33330,266,140.94545,50%+
End quote_24 hours_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 24 Hours_P95QJL_VIVAKI AOD_RON_Retargeting_300 x 250,End quote,24 hours,0.552486188,2715,1500,2853,23,19.367617,50%+
End quote_24 hours_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 24 Hours_P7T5VZ_VIVAKI AOD_Retargeting_NULL_300 x 250,End quote,24 hours,0.549955208,42418,23328,43761,329,193.695667,50%+
End quote_24 hours_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 24 Hours_P95QJM_VIVAKI AOD_RON_Retargeting_728 x 90,End quote,24 hours,0.537427109,8403,4516,9535,42,70.376128,50%+
End quote_24 hours_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 24 Hours_P7B0R9_VIVAKI AOD_Desktop Retargeting_NULL_728 x 90,End quote,24 hours,0.534907864,7706,4122,8758,29,62.70993,50%+
End quote_24 hours_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 24 Hours_P7B0R6_VIVAKI AOD_Desktop Retargeting_NULL_300 x 250,End quote,24 hours,0.52212693,2915,1522,3041,12,17.589274,50%+
End quote_24 hours_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 24 Hours_P7T5VZ_VIVAKI AOD_Retargeting_NULL_300 x 250,End quote,24 hours,0.520869265,2899,1510,3047,31,19.621983,50%+
End quote_24 hours_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 24 Hours_P87QGV_VIVAKI AOD_Retargeting_728 x 90,End quote,24 hours,0.516602159,9818,5072,11147,55,75.727592,50%+
End quote_24 hours_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 24 Hours_P8TKF2_VIVAKI AOD_Retargeting_Desktop_728 x 90,End quote,24 hours,0.511397796,7984,4083,9227,51,64.920709,50%+
End quote_24 hours_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 24 Hours_P8TKF3_VIVAKI AOD_Retargeting_Desktop_160 x 600,End quote,24 hours,0.505499542,4364,2206,4511,25,20.142803,50%+
End quote_24 hours_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 24 Hours_P8TKF1_VIVAKI AOD_Retargeting_Desktop_300 x 250,End quote,24 hours,0.493887531,2045,1010,2158,22,12.705554,40%+
End quote_24 hours_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 24 Hours_P87QGW_VIVAKI AOD_Retargeting_160 x 600,End quote,24 hours,0.493001235,4858,2395,5000,31,22.178929,40%+
End quote_24 hours_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 24 Hours_P95QJN_VIVAKI AOD_RON_Retargeting_160 x 600,End quote,24 hours,0.487442445,4778,2329,4961,33,20.968754,40%+
End quote_24 hours_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 24 Hours_P7T5W0_VIVAKI AOD_Retargeting_NULL_160 x 600,End quote,24 hours,0.475603217,5595,2661,5731,47,24.483536,40%+
End quote_24 hours_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 24 Hours_P7B0R9_VIVAKI AOD_Desktop Retargeting_NULL_728 x 90,End quote,24 hours,0.45807734,5534,2535,5700,91,30.505366,40%+
End quote_24 hours_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 24 Hours_P7B0R9_VIVAKI AOD_Desktop Retargeting_NULL_728 x 90,End quote,24 hours,0.394166066,33288,13121,33657,244,147.61993,30%+
End quote_24 hours_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 24 Hours_P7T5VY_VIVAKI AOD_Retargeting_NULL_728 x 90,End quote,24 hours,0.383420944,41281,15828,41822,338,193.311511,30%+
End quote_24 hours_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 24 Hours_P87QGV_VIVAKI AOD_Retargeting_728 x 90,End quote,24 hours,0.381083304,42555,16217,43161,268,191.997533,30%+
End quote_24 hours_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 24 Hours_P8TKF2_VIVAKI AOD_Retargeting_Desktop_728 x 90,End quote,24 hours,0.369595537,37284,13780,37891,343,177.591411,30%+
End quote_24 hours_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 24 Hours_P7T5VY_VIVAKI AOD_Retargeting_NULL_728 x 90,End quote,24 hours,0.365433673,6272,2292,6466,54,39.460687,30%+
End quote_24 hours_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 24 Hours_P95QJM_VIVAKI AOD_RON_Retargeting_728 x 90,End quote,24 hours,0.364202204,47556,17320,48339,274,225.790591,30%+
End quote_24 hours_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 24 Hours_P95QJM_VIVAKI AOD_RON_Retargeting_728 x 90,End quote,24 hours,0.354758782,6861,2434,6993,55,38.406823,30%+
End quote_24 hours_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 24 Hours_P7B0RC_VIVAKI AOD_Desktop Retargeting_NULL_160 x 600,End quote,24 hours,0.34001134,5291,1799,5480,47,25.355411,30%+
End quote_24 hours_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 24 Hours_P87QGV_VIVAKI AOD_Retargeting_728 x 90,End quote,24 hours,0.306495751,6943,2128,7117,72,36.470195,30%+
End quote_24 hours_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 24 Hours_P95QJM_VIVAKI AOD_RON_Retargeting_728 x 90,End quote,24 hours,0.304887821,9984,3044,10363,91,43.831355,30%+
End quote_24 hours_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 24 Hours_P87QGV_VIVAKI AOD_Retargeting_728 x 90,End quote,24 hours,0.276488595,10127,2800,10415,97,44.540914,-30%
End quote_24 hours_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 24 Hours_P8TKF2_VIVAKI AOD_Retargeting_Desktop_728 x 90,End quote,24 hours,0.275356245,4772,1314,4879,66,24.71896,-30%
End quote_24 hours_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 24 Hours_P8TKF2_VIVAKI AOD_Retargeting_Desktop_728 x 90,End quote,24 hours,0.258571847,10237,2647,10533,120,45.097411,-30%
End quote_24 hours_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 24 Hours_P7T5VY_VIVAKI AOD_Retargeting_NULL_728 x 90,End quote,24 hours,0.190780266,11432,2181,11760,115,56.071124,-30%
End quote_24 hours_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 24 Hours_P7B0R9_VIVAKI AOD_Desktop Retargeting_NULL_728 x 90,End quote,24 hours,0.135993567,9949,1353,10283,145,50.037836,-30%
End quote_24 hours_O-CV5S_Aviva_UK_AD_2016_Jan_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 24 Hours_P6H338_VIVAKI AOD_Desktop_728 x 90,End quote,24 hours,#DIV/0!,0,0,0,31,0,#DIV/0!
End quote_24 hours_O-CV5S_Aviva_UK_AD_2016_Jan_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 24 Hours_P6H335_VIVAKI AOD_Desktop_300 x 250,End quote,24 hours,#DIV/0!,0,0,0,1,0,#DIV/0!
End quote_24 hours_O-CV5S_Aviva_UK_AD_2016_Jan_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 24 Hours_P6H338_VIVAKI AOD_Desktop_728 x 90,End quote,24 hours,#DIV/0!,0,0,0,1,0,#DIV/0!
End quote_24 hours_O-CV5S_Aviva_UK_AD_2016_Jan_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 24 Hours_P6H335_VIVAKI AOD_Desktop_300 x 250,End quote,24 hours,#DIV/0!,0,0,0,2,0,#DIV/0!
End quote_24 hours_O-CV5S_Aviva_UK_AD_2016_Jan_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_End Quote 24 Hours_P6H33B_VIVAKI AOD_Desktop_160 x 600,End quote,24 hours,#DIV/0!,0,0,0,4,0,#DIV/0!
End quote_24 hours_O-CV5S_Aviva_UK_AD_2016_Jan_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 24 Hours_P6H33B_VIVAKI AOD_Desktop_160 x 600,End quote,24 hours,#DIV/0!,0,0,0,,0,#DIV/0!
End quote_48 hours_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_48 Hours_P7B0RC_VIVAKI AOD_Desktop Retargeting_NULL_160 x 600,End quote,48 hours,0.902071563,1062,958,1090,1,5.675942,70%+
End quote_48 hours_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_48 Hours_P7B0R6_VIVAKI AOD_Desktop Retargeting_NULL_300 x 250,End quote,48 hours,0.891777934,1423,1269,1446,4,8.461668,70%+
End quote_48 hours_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_48 Hours_P7B0RC_VIVAKI AOD_Desktop Retargeting_NULL_160 x 600,End quote,48 hours,0.858261113,3577,3070,3669,4,22.183793,70%+
End quote_48 hours_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_48 Hours_P7B0R6_VIVAKI AOD_Desktop Retargeting_NULL_300 x 250,End quote,48 hours,0.85602138,5987,5125,6079,16,37.851937,70%+
End quote_48 hours_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_48 Hours_P87QGW_VIVAKI AOD_Retargeting_160 x 600,End quote,48 hours,0.846333333,3000,2539,3054,16,15.545156,70%+
End quote_48 hours_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_48 Hours_P95QJN_VIVAKI AOD_RON_Retargeting_160 x 600,End quote,48 hours,0.841238341,5039,4239,5254,7,23.518423,70%+
End quote_48 hours_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_48 Hours_P7T5W0_VIVAKI AOD_Retargeting_NULL_160 x 600,End quote,48 hours,0.834209143,3806,3175,3922,10,19.920128,70%+
End quote_48 hours_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_48 Hours_P95QJN_VIVAKI AOD_RON_Retargeting_160 x 600,End quote,48 hours,0.830646894,4653,3865,4834,3,24.926787,70%+
End quote_48 hours_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_48 Hours_P8TKF3_VIVAKI AOD_Retargeting_Desktop_160 x 600,End quote,48 hours,0.829174664,1563,1296,1602,6,8.541439,70%+
End quote_48 hours_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_48 Hours_P8TKF3_VIVAKI AOD_Retargeting_Desktop_160 x 600,End quote,48 hours,0.828941176,4250,3523,4346,11,19.488001,70%+
End quote_48 hours_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_48 Hours_P95QJL_VIVAKI AOD_RON_Retargeting_300 x 250,End quote,48 hours,0.817057226,9943,8124,10124,22,53.939275,70%+
End quote_48 hours_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_48 Hours_P95QJL_VIVAKI AOD_RON_Retargeting_300 x 250,End quote,48 hours,0.814991132,10713,8731,10915,18,53.345008,70%+
End quote_48 hours_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_48 Hours_P8TKF1_VIVAKI AOD_Retargeting_Desktop_300 x 250,End quote,48 hours,0.809510169,3491,2826,3576,6,20.368961,70%+
End quote_48 hours_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 48 Hours_P95QJL_VIVAKI AOD_RON_Retargeting_300 x 250,End quote,48 hours,0.804020101,398,320,407,7,2.136578,70%+
End quote_48 hours_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_48 Hours_P8TKF1_VIVAKI AOD_Retargeting_Desktop_300 x 250,End quote,48 hours,0.803655497,10833,8706,11064,24,55.200514,70%+
End quote_48 hours_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_48 Hours_P87QGT_VIVAKI AOD_Retargeting_300 x 250,End quote,48 hours,0.790650407,7380,5835,7521,11,39.653422,70%+
End quote_48 hours_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_48 Hours_P87QGW_VIVAKI AOD_Retargeting_160 x 600,End quote,48 hours,0.766323024,1746,1338,1782,7,12.463437,70%+
End quote_48 hours_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 48 Hours_P8TKF1_VIVAKI AOD_Retargeting_Desktop_300 x 250,End quote,48 hours,0.765834933,521,399,533,2,2.729425,70%+
End quote_48 hours_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_48 Hours_P87QGT_VIVAKI AOD_Retargeting_300 x 250,End quote,48 hours,0.76336319,3461,2642,3540,7,20.649287,70%+
End quote_48 hours_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_48 Hours_P7T5VZ_VIVAKI AOD_Retargeting_NULL_300 x 250,End quote,48 hours,0.735508802,6987,5139,7110,15,40.966413,70%+
End quote_48 hours_O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 48 Hours_P7T5VZ_VIVAKI AOD_Retargeting_NULL_300 x 250,End quote,48 hours,0.701807229,332,233,339,,1.655316,70%+
End quote_48 hours_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 48 Hours_P87QGT_VIVAKI AOD_Retargeting_300 x 250,End quote,48 hours,0.693290735,626,434,634,2,3.230376,60%+
End quote_48 hours_O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_End Quote 48 Hours_P7B0R6_VIVAKI AOD_Desktop Retargeting_NULL_300 x 250,End quote,48 hours,0.674897119,243,164,256,2,1.166266,60%+
End quote_48 hours_O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 48 Hours_P95QJN_VIVAKI AOD_RON_Retargeting_160 x 600,End quote,48 hours,0.636363636,264,168,265,1,1.528973,60%+
End quote_48 hours_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_End Quote_48 Hours_P8TKF2_VIVAKI AOD_Retargeting_Desktop_728 x 90,End quote,48 hours,0.62962963,27,17,29,,0.155877,60%+
End quote_48 hours_O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_48 Hours_P8TKF2_VIVAKI AOD_Retargeting_Desktop_728 x 90,End quote,48 hours,0.610169492,59,36,62,,0.25595,60%+
End quote_48 hours_O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_End Quote 48 Hours_P87QGW_VIVAKI AOD_Retargeting_160 x 600,End quote,48 hours,0.603865353,7813,4718,7915,27,43.658199,60%+
