Row Labels,Targeting,Recency,Sum of Viewability,Sum of Active View: Measurable Impressions,Sum of Active View: Viewable Impressions,Sum of Impressions,Sum of Quotes,Sum of Spend,Viewgroup
Car homepage__O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_Car Homepage_P7T5VZ_VIVAKI AOD_Retargeting_NULL_300 x 250,Car homepage,,0.650631681,18522,12051,19032,3,69.883808,60%+
Car homepage__O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_P87QGW_VIVAKI AOD_Retargeting_160 x 600,Car homepage,,0.638206927,9124,5823,9306,8,17.477964,60%+
Car homepage__O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_IAS Top 35%_P95QJN_VIVAKI AOD_RON_Retargeting_160 x 600,Car homepage,,0.637608486,25925,16530,26607,3,111.429835,60%+
Car homepage__O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_IAS Top 35%_P8TKF3_VIVAKI AOD_Retargeting_Desktop_160 x 600,Car homepage,,0.627311781,27468,17231,28026,9,121.952143,60%+
Car homepage__O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_IAS Top 35%_P87QGW_VIVAKI AOD_Retargeting_160 x 600,Car homepage,,0.626930229,24738,15509,25153,4,106.917238,60%+
Car homepage__O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_Car Homepage_P7B0R6_VIVAKI AOD_Desktop Retargeting_NULL_300 x 250,Car homepage,,0.624221992,30848,19256,34514,6,107.84495,60%+
Car homepage__O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_P7T5W0_VIVAKI AOD_Retargeting_NULL_160 x 600,Car homepage,,0.612766956,8522,5222,8682,1,16.845487,60%+
Car homepage__O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_Car Homepage_P87QGT_VIVAKI AOD_Retargeting_300 x 250,Car homepage,,0.596540374,28558,17036,34198,6,84.512576,50%+
Car homepage__O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_IAS Top 35%_P7T5W0_VIVAKI AOD_Retargeting_NULL_160 x 600,Car homepage,,0.582569716,40378,23523,41245,15,172.274161,50%+
Car homepage__O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_IAS Top 35%_P7B0RC_VIVAKI AOD_Desktop Retargeting_NULL_160 x 600,Car homepage,,0.569499528,21180,12062,21542,15,88.372879,50%+
Car homepage__O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_Car Homepage_P8TKF1_VIVAKI AOD_Retargeting_Desktop_300 x 250,Car homepage,,0.567442442,15984,9070,18842,1,60.08938,50%+
Car homepage__O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_Car Homepage_P7T5VZ_VIVAKI AOD_Retargeting_NULL_300 x 250,Car homepage,,0.564545383,38043,21477,46064,11,128.70556,50%+
Car homepage__O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_P95QJL_VIVAKI AOD_RON_Retargeting_300 x 250,Car homepage,,0.543802789,10182,5537,10654,9,21.844633,50%+
Car homepage__O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_Car Homepage_P8TKF2_VIVAKI AOD_Retargeting_Desktop_728 x 90,Car homepage,,0.54,50,27,50,,0.174822,50%+
Car homepage__O-F5QT_Aviva_UK_AD_2016_Feb_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_Car Homepage_P7B0R9_VIVAKI AOD_Desktop Retargeting_NULL_728 x 90,Car homepage,,0.536713535,42246,22674,46842,11,172.003476,50%+
Car homepage__O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_Car Homepage_P7T5VY_VIVAKI AOD_Retargeting_NULL_728 x 90,Car homepage,,0.529305814,67734,35852,74181,19,192.82069,50%+
Car homepage__O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Other_Car Homepage_IAS Top 35%_P95QJL_VIVAKI AOD_RON_Retargeting_300 x 250,Car homepage,,0.526142536,54681,28770,57123,14,248.790696,50%+
Car homepage__O-FZKM_Aviva_UK_AD_2016_Mar_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Yahoo_Car Homepage_P7T5VY_VIVAKI AOD_Retargeting_NULL_728 x 90,Car homepage,,0.51465798,307,158,316,,1.110624,50%+
Car homepage__O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_Ebay_Car Homepage_P8TKF3_VIVAKI AOD_Retargeting_Desktop_160 x 600,Car homepage,,0.513992298,3895,2002,3975,3,9.066282,50%+
Car homepage__O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting_AvivaUK_Car_REM_RTB_MSFT_Car Homepage_P8TKF2_VIVAKI AOD_Retargeting_Desktop_728 x 90,Car homepage,,0.512338129,27800,14243,31337,9,90.805019,50%+
