Month,Advertiser,Advertiser ID,Advertiser Status,Advertiser Integration Code,Public Inventory,Advertiser Currency,Impressions,Clicks,Revenue (Adv Currency),Media Cost (Advertiser Currency)
2016/01,BBC Store_UK_Zenith,813934,Active,,No,GBP,41412,35,158.901120,105.579659
2016/10,Entertainment One_UK_Zenith,8451,Active,,Yes,GBP,19857673,14614,94913.996386,68121.642775
2016/12,Lexus_UK_Zenith,5072,Active,,No,GBP,1282533,1855,17139.948527,11981.127197
2016/03,BlueCross_UK_Blue449,733732,Active,,Yes,GBP,699325,499,2253.567841,1577.519516
2016/06,Costa_UK_Zenith,586631,Active,,No,GBP,1176921,8926,4207.308138,2933.880920
2016/07,Mont Blanc_UK_Zenith,265734,Active,,Yes,GBP,20838,1,117.763538,82.437712
2016/09,Mercedes-Benz_UK_Zenith/Ninah (non-DFA),365138,Active,,Yes,GBP,4819673,8720,20922.657199,14261.354741
2016/04,Toyota_UK_Zenith,5071,Active,,No,GBP,3351708,3661,37108.556436,25981.440005
2016/07,Net-A-Porter_UK_Zenith,633491,Active,,No,GBP,18962,17,129.293052,90.506240
2016/11,Lombard_UK_Zenith,883545,Active,,Yes,GBP,10455197,4392,10090.568168,7037.471897
2016/04,Doddle_UK_Blue449,419752,Active,,Yes,GBP,10,3,0.022494,0.015746
2016/01,P&O_UK_Starcom,423260,Active,,Yes,GBP,3610983,1257,12498.498996,8555.452702
2016/03,Unum_UK_Zenith,188049,Active,,Yes,GBP,4114508,7645,24621.818069,17235.603572
2016/04,CarphoneWarehouse2_UK_Blue449,573839,Active,,Yes,GBP,9984248,6172,8856.589509,6170.003401
2016/08,Entertainment One_UK_Zenith,8451,Active,,Yes,GBP,23806968,17667,93979.541990,67056.307049
2016/09,Toyota_UK_Zenith,5071,Active,,Yes,GBP,13058064,13008,65618.487407,40919.672507
2016/03,Lexus Pan Euro_UK_Zenith International DCM Parent,812132,Active,,Yes,EUR,12598350,12025,107278.263112,74939.019546
2016/05,DSG_UK_Blue449,341246,Active,,No,GBP,22688,109,502.994839,352.100684
2016/08,BBC Store_UK_Zenith,813934,Active,,No,GBP,63435,60,268.055898,187.641417
2016/01,Calor Gas-NON DFA_UK_Blue449,354835,Active,,No,GBP,758,16,16.122218,11.285690
2016/02,Toyota_UK_Zenith,5071,Active,,Yes,GBP,42035339,29620,158254.160325,103616.729734
2016/03,Lexus_UK_Zenith,5072,Active,,No,GBP,9056608,11883,122873.668795,85932.552031
2017/01,ACER USD_UK_Zenith International,290566,Active,,Yes,USD,5746994,4037,17226.991948,11165.239633
2016/05,Vemedia_UK_Zenith,639653,Active,,Yes,GBP,2417824,7921,15016.777474,10416.238633
2016/03,Coty_UK_Zenith,737469,Active,,Yes,GBP,439707,542,1469.413219,1023.710788
2016/07,Christies_UK_Zenith International,914143,Active,,Yes,GBP,10004113,6420,49502.135980,30898.052946
2016/11,Elemis_UK_Zenith,960943,Active,,Yes,GBP,541325,861,2341.244497,1626.475439
