Date,Advertiser,Advertiser Currency Code,Inventory Contract,Impressions,Clicks,Advertiser Cost (Adv Currency),Media Cost (Adv Currency)
11/08/2016,Mercedes-Benz_UK_Zenith,GBP,,1137440,1499,"33,949,445,973,686,000","22,467,289,301,771,000"
12/08/2016,COTY_UK_ZENITH,GBP,PMP_GumGum_Multi_RON_Fixed_BidSwitch_TTD_Coty_UK_In-Screen,32154,278,"55,589,858,977,005,400","389,103,747,882,894"
12/08/2016,COTY_UK_ZENITH,GBP,,86092,79,"62,283,557,154,944,300","38,034,659,128,665,700"
12/08/2016,Mercedes-Benz_UK_Zenith,GBP,Millennial Media - Global - Auto Category - $1-1.60 CPM guidance,48759,135,"13,965,463,097,047,100","97,453,677,731,919,700"
12/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_InMobi_Mercedes CLA_Floor: £3_Rubicon_TheTradeDesk_Mercedes_UK_320x50/300x50,5579,10,"35,799,813,900,653,700","25,025,011,545,868,700"
12/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_InMobi_Mercedes CLA_Floor: £4_Rubicon_TheTradeDesk_Mercedes_UK_300x250,9581,2,"79,998,388,022,414,700","55,939,003,130,483,400"
12/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_InMobi_Mercedes CLA_Floor: £9_Rubicon_TheTradeDesk_Mercedes_UK_768x1024,3698,103,"66,061,225,413,039,200","46,239,951,272,925,100"
12/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_Numbate_Mercedes Audience_Floor: £13_SmartRTB_TheTradeDesk_Mercedes_UK_768x1024,1691,20,"3,453,831,565,365,740","24,175,490,844,183,200"
12/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_Numbate_Mercedes Audience_Floor: £5_SmartRTB_TheTradeDesk_Mercedes_UK_320x50,3751,10,"22,456,512,969,853,300","15,696,126,088,626,800"
12/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_Numbate_Mercedes Audience_Floor: £8.50_SmartRTB_TheTradeDesk_Mercedes_UK_300x250,1575,15,"19,822,043,938,707,300","13,865,589,361,764,500"
12/08/2016,Mercedes-Benz_UK_Zenith,GBP,PMP_Xad_Mercedes Audience_Floor: £3.50_Rubicon_TheTradeDesk_Mercedes_UK_320x50/300x50,22254,37,"15,411,006,042,322,700","10,773,799,365,532,600"
12/08/2016,Mercedes-Benz_UK_Zenith,GBP,,1662132,2126,"5,155,724,985,506,480","3,405,875,706,037,470"
