Insertion Order,Insertion Order ID,Insertion Order Status,Insertion Order Integration Code,Line Item,Line Item ID,Line Item Status,Line Item Integration Code,Targeted Data Providers,Advertiser Currency,Impressions,Clicks,Revenue (Adv Currency),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-ML40_2016_Aviva_Car Insurance_Non-Customers_Retargeting_November,2712512,Paused,O-ML40,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_Start Quote >24 Hours_AV>50%,9110674,Active,PCHC9B,,GBP,420382,182,1101.973698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Prospecting_December_5th_AI,2814422,Paused,O-N4YG,Aviva_PRO_3rd Party_AD_CPA_Visual DNA_RTB_ABC1_Desktop_Peak_AV>50%,9490356,Active,PCVX3Q,VisualDNA,GBP,28892,7,81.540884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting,2293078,Paused,O-HFG9,AvivaUK_Car_REM_RTB_Yahoo_Start Quote,6810926,Paused,VIVAKIAOD_Retargeting,,GBP,74833,59,339.188908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-JSGV_Aviva_UK_AD_2016_July_Car Insurance_Retargeting,2428662,Paused,O-JSGV,AvivaUK_Car_REM_RTB_Other_End Quote_300x250_excl sites,7648745,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,447379,140,1608.439188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-KF4B_Aviva_UK_AD_2016_August_Car Insurance_Retargeting,2488686,Paused,O-KF4B,AvivaUK_Car_REM_RTB_Yahoo_Start Quote,7972005,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,49294,27,143.02318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Retargeting_October,2638741,Paused,O-LVP9,AvivaUK_Car_REM_RTB_Ebay_End Quote 48 Hours,8737495,Paused,PC20LH,,GBP,9928,3,41.126414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Existing Customers_Retargeting_December,2806248,Paused,O-N4YG,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Existing Customers (non UKDI)_Viewed Car pages,9444709,Active,PCVX2H,,GBP,5270,1,13.953618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting,2352596,Paused,O-HZNC,AvivaUK_Car_REM_RTB_Ebay_Start Quote 24 hours,7250139,Paused,VIVAKI AOD_RON_Retargeting,,GBP,8465,3,52.886799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-KF4B_Aviva_UK_AD_2016_August_Car Insurance_Retargeting,2488686,Paused,O-KF4B,AvivaUK_Car_REM_RTB_Yahoo_End Quote_48 Hours,7972004,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,25530,19,127.031133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-RK1W_2017_Aviva_Car Insurance_Non-Customers_Prospecting_April,3191758,Paused,O-RK1W,Aviva_PRO_3rd Party_AM_CPA_Visual DNA_CPM_ABC1_Mobile_AV>50%,11227539,Active,PG0JHY,VisualDNA,GBP,34628,29,114.601633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting,2227378,Paused,O-GGF8,AvivaUK_Car_REM_RTB_MSFT_Skype_End Quote,6399940,Paused,VIVAKIAOD_Retargeting,,GBP,17360,6,68.861679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-KF4B_Aviva_UK_AD_2016_August_Car Insurance_Retargeting,2488686,Paused,O-KF4B,AvivaUK_Car_REM_RTB_Yahoo_Aviva Homepage,7971997,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,84280,40,396.95561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Retargeting_October,2638741,Paused,O-LVP9,AvivaUK_Car_REM_RTB_Yahoo_Start Quote,8737543,Paused,PC20LH,,GBP,37584,17,108.662279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-ML40_2016_Aviva_Car Insurance_Existing Customers_Retargeting_November,2709279,Paused,O-ML40,Aviva_REM_Site REM_AD_CPA_Multi_Multi_RTB_Existing Customers (non UKDI)_Con in Market to Switch,9109412,Paused,PCHC6T,BlueKai eXelate CrossPixel Lotame VisualDNA Eyeota SIRdata,GBP,5233,1,22.971482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-QR5R_2017_Aviva_Car Insurance_Non-Customers_Retargeting_March,3054348,Paused,O-QR5R,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_End Quote 24 Hours,10466926,Active,PFHN6T,,GBP,1091455,372,3465.99293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-SC7K_2017_Aviva_Car Insurance_Non-Customers_Prospecting_May,3323742,Active,O-SC7K,Aviva_PRO_3rd Party_AM_CPA_DBM_CPM_In-Market Google_Mobile_AV>50%,11647033,Active,PGNK08,Bid Manager Audiences,GBP,13986,28,38.556962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Prospecting_October,2637374,Paused,O-LVP9,Aviva_PRO_3rd Party_AM_CPA_Multi_CPM_Audience Composition_Sales_Mobile_AV>50%,8734040,Paused,PC23K9,BlueKai eXelate AddThis Lotame VisualDNA,GBP,198544,295,490.596908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-NR27_2017_Aviva_Car Insurance_Non-Customers_Prospecting_January,2886945,Paused,O-NR27,Aviva_PRO_3rd Party_AM_CPA_DBM_CPM_In-Market Google_Mobile_AV>50%,9762187,Active,PCVX3Q,Bid Manager Audiences,GBP,25886,62,60.122358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-SC7K_2017_Aviva_Car Insurance_Non-Customers_Retargeting_May,3323741,Active,O-SC7K,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_Car Product Pages >24 Hours_AV>50%,11646995,Active,PGNK02,,GBP,84650,52,150.545463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting,2293078,Paused,O-HFG9,AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_10 minutes,6810911,Paused,VIVAKIAOD_Retargeting,,GBP,4874,1,20.268364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-L2PP_2016_Aviva_UK_September_Car Insurance_Prospecting,2559539,Paused,O-L2PP,Aviva_PRO_AM_CPA_CPM_Mobile_AV>50%,8398865,Paused,PBJWFF,,GBP,354326,396,159.110946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-ML40_2016_Aviva_Car Insurance_Non-Customers_Prospecting_November,2709277,Paused,O-ML40,Aviva_PRO_3rd Party_AD_CPA_Visual DNA_RTB_ABC1_Desktop_AV>50%,9092341,Active,PCHCCB,VisualDNA,GBP,53758,12,165.626304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-NR27_2017_Aviva_Car Insurance_Non-Customers_Prospecting_January,2886945,Paused,O-NR27,Aviva_PRO_3rd Party_AD_CPA_Multi_RTB_Audience Composition_Quotes_Tablet_AV>50%,9761277,Active,PCVX3Q,BlueKai eXelate AddThis VisualDNA SkimLinks,GBP,154081,265,349.11028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-PLTW_2017_Aviva_Car Insurance_Existing Customers_Retargeting_February,2959862,Paused,O-PLTW,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Existing Customers (non UKDI)_End Quote >48 Hours,10079721,Active,PDVN1Q,,GBP,124067,40,334.357162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-RK1W_2017_Aviva_Car Insurance_Non-Customers_Retargeting_April 2,3227263,Paused,O-RK1W,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_Start Quote 24 Hours_AV>50%,11314646,Active,PG0JFS,,GBP,117822,62,304.897834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting,2352596,Paused,O-HZNC,AvivaUK_Car_REM_RTB_Other_Car Homepage,7250155,Paused,VIVAKI AOD_RON_Retargeting,,GBP,24280,21,49.61746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-NR27_2017_Aviva_Car Insurance_Non-Customers_Retargeting_January,2886946,Paused,O-NR27,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_In Market_AV>50%,9762204,Active,PCVX37,BlueKai eXelate CrossPixel Lotame VisualDNA Eyeota SIRdata,GBP,637,0,1.898853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-SC7K_2017_Aviva_Car Insurance_Non-Customers_Prospecting_May,3323742,Active,O-SC7K,Aviva_FIL_KEY CON TAR_AM_CPA_CPM_Mobile_AV>50%,11647017,Active,PGNK08,,GBP,245025,177,611.367924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-L2PP_2016_Aviva_UK_September_Car Insurance_Retargeting,2564571,Paused,O-L2PP,AvivaUK_Car_REM_RTB_Ebay_Car Homepage,8399484,Paused,PBJWFM,,GBP,17790,4,44.0116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Prospecting_December,2806249,Paused,O-N4YG,Aviva_PRO_3rd Party_AD_CPA_DBM_RTB_In-Market Data_Tablet_AV>50%,9444717,Active,PCVX3Q,BlueKai eXelate CrossPixel Lotame VisualDNA Eyeota SIRdata,GBP,25889,63,84.957465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Prospecting_December_5th_AI,2814422,Paused,O-N4YG,Aviva_PRO_3rd Party_AM_CPA_Visual DNA_CPM_ABC1_Mobile_Monday_AV>50%,9490363,Active,PCVX3Q,VisualDNA,GBP,1357,2,3.936974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-PLTW_2017_Aviva_Car Insurance_Non-Customers_Prospecting_February,2959863,Paused,O-PLTW,Aviva_PRO_3rd Party_AD_CPA_DBM_RTB_In-Market Google_Desktop_AV>50%,10079733,Active,PDVN27,Bid Manager Audiences,GBP,342465,135,918.304891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-QR5R_2017_Aviva_Car Insurance_Non-Customers_Prospecting_March,3054350,Paused,O-QR5R,Aviva_PRO_3rd Party_AD_CPA_Visual DNA_RTB_ABC1_Desktop_AV>50%,10466958,Active,PFHN44,VisualDNA,GBP,18003,0,55.830771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting,2293078,Paused,O-HFG9,AvivaUK_Car_REM_RTB_Other_Aviva Homepage_AV>60%,6810578,Paused,VIVAKIAOD_Retargeting,,GBP,114041,52,521.811611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-KF4B_Aviva_UK_AD_2016_August_Car Insurance_Retargeting,2488686,Paused,O-KF4B,AvivaUK_Car_REM_RTB_Ebay_Car Homepage,7971921,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,25271,3,64.00541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Prospecting_December_5th,2814418,Paused,O-N4YG,Aviva_PRO_3rd Party_AD_CPA_DBM_RTB_In-Market Data_Desktop_AV>50%,9490297,Active,PCVX3Q,BlueKai eXelate CrossPixel Lotame VisualDNA Eyeota SIRdata,GBP,29100,7,104.338812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-PLTW_2017_Aviva_Car Insurance_Non-Customers_Retargeting_February,2959864,Paused,O-PLTW,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_End Quote 24-48 Hours,10079765,Active,PDVN1Y,,GBP,33579,10,91.014051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-L2PP_2016_Aviva_UK_September_Car Insurance_Prospecting,2559539,Paused,O-L2PP,Aviva_PRO_3rd Party_AD_CPA_Visual DNA_RTB_ABC1_Desktop_AV>50%,8394648,Paused,PBJWFF,VisualDNA,GBP,487371,95,1492.830988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-L2PP_2016_Aviva_UK_September_Car Insurance_Retargeting,2564571,Paused,O-L2PP,AvivaUK_Car_REM_RTB_Ebay_End Quote_300x250,8399495,Paused,PBJWFM,,GBP,70768,37,309.666255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Retargeting_October,2638741,Paused,O-LVP9,AvivaUK_Car_REM_RTB_MSFT_End Quote 10 minutes,8737501,Paused,PC20LH,,GBP,2652,3,11.374307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-NR27_2017_Aviva_Car Insurance_Non-Customers_Prospecting_January,2886945,Paused,O-NR27,Aviva_PRO_3rd Party_AD_CPA_DBM_RTB_In-Market Data_Desktop_AV>50%,9761272,Active,PCVX3Q,BlueKai eXelate CrossPixel Lotame VisualDNA Eyeota SIRdata,GBP,7593,1,25.702832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Retargeting_October,2638741,Paused,O-LVP9,AvivaUK_Car_REM_RTB_Top Converter Channel_Start Quote,8737532,Paused,PC20LH,,GBP,26954,17,131.477597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-ML40_2016_Aviva_Car Insurance_Existing Customers_Retargeting_November,2709279,Paused,O-ML40,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Existing Customers (non UKDI)_Start Quote 24 Hours,9092434,Active,PCHC6T,,GBP,14532,6,41.095117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-ML40_2016_Aviva_Car Insurance_Non-Customers_Prospecting_November,2709277,Paused,O-ML40,Aviva_FIL_KEY CON TAR_AD_CPA_RTB_Tablet_AV>50%,9092333,Active,PCHCCB,,GBP,68072,69,156.394013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-ML40_2016_Aviva_Car Insurance_Non-Customers_Retargeting_November,2712512,Paused,O-ML40,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_Start Quote >24 Hours,9110653,Active,PCHC9B,,GBP,569914,111,1450.517844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Prospecting_December_5th,2814418,Paused,O-N4YG,Aviva_PRO_3rd Party_AD_CPA_DBM_RTB_In-Market Google_Desktop_AV>50%,9490299,Active,PCVX3Q,Bid Manager Audiences,GBP,19376,16,47.408049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Prospecting_December_5th,2814418,Paused,O-N4YG,Aviva_PRO_3rd Party_AM_CPA_Visual DNA_CPM_ABC1_Mobile_Monday_AV>50%,9490314,Active,PCVX3Q,VisualDNA,GBP,2392,2,7.490347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-QR5R_2017_Aviva_Car Insurance_Non-Customers_Prospecting_March,3054350,Paused,O-QR5R,Aviva_PRO_3rd Party_AD_CPA_Multi_RTB_Audience Composition_Sales_Tablet_AV>50%,10466957,Active,PFHN44,BlueKai eXelate AddThis Lotame VisualDNA,GBP,161208,350,458.181671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-RK1W_2017_Aviva_Car Insurance_Non-Customers_Prospecting_April,3191758,Paused,O-RK1W,Aviva_FIL_KEY CON TAR_AD_CPA_RTB_Tablet_AV>50%,11227521,Active,PG0JHY,,GBP,335222,164,756.373821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-RK1W_2017_Aviva_Car Insurance_Non-Customers_Prospecting_April,3191758,Paused,O-RK1W,Aviva_PRO_3rd Party_AD_CPA_Visual DNA_RTB_ABC1_Tablet_Peak_AV>50%,11227536,Active,PG0JHY,VisualDNA,GBP,60682,119,182.359689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-JSGV_Aviva_UK_AD_2016_July_Car Insurance_Retargeting,2428662,Paused,O-JSGV,AvivaUK_Car_REM_RTB_MSFT_MSN_End Quote,7648719,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,189468,111,615.116698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-NR27_2017_Aviva_Car Insurance_Non-Customers_Prospecting_January,2886945,Paused,O-NR27,Aviva_PRO_3rd Party_AD_CPA_Visual DNA_RTB_ABC1_Tablet_Monday_AV>50%,9762184,Active,PCVX3Q,VisualDNA,GBP,4325,16,13.20374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting,2227378,Paused,O-GGF8,AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_10 minutes,6399966,Paused,VIVAKIAOD_Retargeting,,GBP,1349,1,7.430081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-KF4B_Aviva_UK_AD_2016_August_Car Insurance_Retargeting,2488686,Paused,O-KF4B,AvivaUK_Car_REM_RTB_Ebay_End Quote,7971926,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,90737,9,226.391418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-ML40_2016_Aviva_Car Insurance_Non-Customers_Retargeting_November,2712512,Paused,O-ML40,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_End Quote 24-48 Hours_AV>50%,9110671,Active,PCHC9B,,GBP,59170,35,209.156098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Prospecting_December,2806249,Paused,O-N4YG,Aviva_PRO_3rd Party_AM_CPA_DBM_CPM_In-Market Data_Mobile_AV>50%,9444730,Active,PCVX3Q,BlueKai eXelate CrossPixel Lotame VisualDNA Eyeota SIRdata,GBP,27964,53,92.690726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-RK1W_2017_Aviva_Car Insurance_Non-Customers_Retargeting_April 2,3227263,Paused,O-RK1W,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_Car Product Pages >24 Hours,11314632,Active,PG0JFS,,GBP,267307,65,470.269153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting,2293078,Paused,O-HFG9,AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_48 Hours,6810915,Paused,VIVAKIAOD_Retargeting,,GBP,15472,11,74.944464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting,2352596,Paused,O-HZNC,AvivaUK_Car_REM_RTB_Other_End Quote 10 minutes,7250160,Paused,VIVAKI AOD_RON_Retargeting,,GBP,8621,4,49.993414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-KF4B_Aviva_UK_AD_2016_August_Car Insurance_Prospecting,2488685,Paused,O-KF4B,Aviva_Car_REM_RTB_ABC1_Mobile_Monday,7971693,Paused,VIVAKI AOD_Desktop/Tabl et/Mobile_Prospecti ng,VisualDNA,GBP,27595,28,88.236927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-ML40_2016_Aviva_Car Insurance_Non-Customers_Prospecting_November,2709277,Paused,O-ML40,Aviva_PRO_3rd Party_AD_CPA_Visual DNA_RTB_ABC1_Desktop_Peak_AV>50%,9092343,Active,PCHCCB,VisualDNA,GBP,49077,10,151.878911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting,2352596,Paused,O-HZNC,AvivaUK_Car_REM_RTB_Other_End Quote_728x90_excl sites,7250169,Paused,VIVAKI AOD_RON_Retargeting,,GBP,94732,25,316.605277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Retargeting_October,2638741,Paused,O-LVP9,AvivaUK_Car_REM_RTB_Other_End Quote_160x600_excl sites,8737518,Paused,PC20LH,,GBP,137524,69,455.749576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Retargeting_October,2638741,Paused,O-LVP9,AvivaUK_Car_REM_RTB_Other_End Quote_728x90_excl sites,8737520,Paused,PC20LH,,GBP,349907,78,1087.312875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-RK1W_2017_Aviva_Car Insurance_Non-Customers_Prospecting_April,3191758,Paused,O-RK1W,Aviva_PRO_3rd Party_AD_CPA_Visual DNA_RTB_ABC1_Tablet_AV>50%,11227534,Active,PG0JHY,VisualDNA,GBP,23791,43,71.837863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting,2227378,Paused,O-GGF8,AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 24 Hours,6399961,Paused,VIVAKIAOD_Retargeting,,GBP,7862,1,41.610689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-KF4B_Aviva_UK_AD_2016_August_Car Insurance_Retargeting,2488686,Paused,O-KF4B,AvivaUK_Car_REM_RTB_Yahoo Homepage_End Quote_10 minutes,7971993,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,5479,3,24.69593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-L2PP_2016_Aviva_UK_September_Car Insurance_Prospecting,2559539,Paused,O-L2PP,Aviva_PRO_3rd Party_AD_CPA_Visual DNA_RTB_ABC1_Tablet_AV>50%,8394663,Paused,PBJWFF,VisualDNA,GBP,392490,422,1168.036433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Retargeting_October,2638741,Paused,O-LVP9,AvivaUK_Car_REM_RTB_Ebay_Start Quote 24 hours,8737498,Paused,PC20LH,,GBP,6203,0,46.478867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-ML40_2016_Aviva_Car Insurance_Non-Customers_Retargeting_November,2712512,Paused,O-ML40,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_End Quote 24 Hours_AV>50%,9110670,Active,PCHC9B,,GBP,259622,128,910.55125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Retargeting_December,2806250,Paused,O-N4YG,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_End Quote 24-48 Hours_AV>50%,9444746,Active,PCVX37,,GBP,7249,2,26.143033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-QR5R_2017_Aviva_Car Insurance_Non-Customers_Prospecting_March,3054350,Paused,O-QR5R,Aviva_PRO_3rd Party_AD_CPA_Visual DNA_RTB_ABC1_Desktop_Peak_AV>50%,10466960,Active,PFHN44,VisualDNA,GBP,16991,2,52.585029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting,2227378,Paused,O-GGF8,AvivaUK_Car_REM_RTB_Other_Start Quote,6399956,Paused,VIVAKIAOD_Retargeting,,GBP,129695,54,475.941278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Prospecting,2352595,Paused,O-HZNC,Aviva_Car_REM_RTB_ABC1_Desktop_Monday,7249592,Paused,VIVAKI AOD_RON_Prospecting ABC1 22-25,VisualDNA,GBP,6743,1,19.275078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting,2352596,Paused,O-HZNC,AvivaUK_Car_REM_RTB_Other_End Quote_300x250_excl sites,7250168,Paused,VIVAKI AOD_RON_Retargeting,,GBP,272613,89,983.982119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-ML40_2016_Aviva_Car Insurance_Existing Customers_Retargeting_November,2709279,Paused,O-ML40,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Existing Customers (non UKDI)_End Quote 24-48 Hours,9094163,Active,PCHC6T,,GBP,9216,1,25.297633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-NR27_2017_Aviva_Car Insurance_Existing Customers_Retargeting_January,2886944,Paused,O-NR27,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Existing Customers (non UKDI)_Start Quote 24 Hours,9761263,Active,PCVX2H,,GBP,46331,9,124.571271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-NR27_2017_Aviva_Car Insurance_Non-Customers_Retargeting_January,2886946,Paused,O-NR27,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_End Quote >48 Hours,9762201,Active,PCVX37,,GBP,1026060,163,1800.389545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-PLTW_2017_Aviva_Car Insurance_Non-Customers_Prospecting_February,2959863,Paused,O-PLTW,Aviva_PRO_3rd Party_AD_CPA_Visual DNA_RTB_ABC1_Tablet_AV>50%,10079742,Active,PDVN27,VisualDNA,GBP,44299,107,137.496835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-PLTW_2017_Aviva_Car Insurance_Non-Customers_Retargeting_February,2959864,Paused,O-PLTW,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_End Quote >48 Hours_AV>50%,10079768,Active,PDVN1Y,,GBP,521850,216,1163.166015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-QR5R_2017_Aviva_Car Insurance_Existing Customers_Retargeting_March,3054349,Paused,O-QR5R,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Existing Customers (non UKDI)_End Quote 24-48 Hours,10466939,Active,PFHN25,,GBP,23967,6,66.84055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting,2293078,Paused,O-HFG9,AvivaUK_Car_REM_RTB_Other_Car Homepage,6810881,Paused,VIVAKIAOD_Retargeting,,GBP,39821,25,80.13828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-L2PP_2016_Aviva_UK_September_Car Insurance_Retargeting,2564571,Paused,O-L2PP,AvivaUK_Car_REM_RTB_Ebay_Aviva Homepage_excl 728x90,8399483,Paused,PBJWFM,,GBP,21969,5,55.698807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Retargeting_December_5th_AI,2814423,Paused,O-N4YG,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_End Quote >48 Hours,9490375,Active,PCVX37,,GBP,216851,40,472.206066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
