Insertion Order,Insertion Order ID,Insertion Order Status,Insertion Order Integration Code,Line Item,Line Item ID,Line Item Status,Line Item Integration Code,Targeted Data Providers,Advertiser Currency,Impressions,Clicks,Revenue (Adv Currency),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Retargeting_December,2806250,Paused,O-N4YG,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_Car Product Pages_AV>50%,9444742,Active,PCVX37,,GBP,7632,4,17.429864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-JSGV_Aviva_UK_AD_2016_July_Car Insurance_Retargeting,2428662,Paused,O-JSGV,AvivaUK_Car_REM_RTB_Ebay_End Quote,7648704,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,72263,10,181.398068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-L2PP_2016_Aviva_UK_September_Car Insurance_Retargeting,2564571,Paused,O-L2PP,AvivaUK_Car_REM_RTB_Other_Aviva Homepage_IAS Top 35%,8399526,Paused,PBJWFM,,GBP,93165,29,265.325932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Retargeting_October,2638741,Paused,O-LVP9,AvivaUK_Car_REM_RTB_Other_End Quote_300x250_excl sites,8737519,Paused,PC20LH,,GBP,679079,202,2495.634566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-JSGV_Aviva_UK_AD_2016_July_Car Insurance_Retargeting,2428662,Paused,O-JSGV,AvivaUK_Car_REM_RTB_MSFT_Outlook_End Quote,7648721,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,151563,163,642.710338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-NR27_2017_Aviva_Car Insurance_Non-Customers_Prospecting_January,2886945,Paused,O-NR27,Aviva_PRO_3rd Party_AD_CPA_Multi_RTB_Audience Composition_Sales_Tablet_AV>50%,9761279,Active,PCVX3Q,BlueKai eXelate AddThis Lotame VisualDNA,GBP,163970,389,449.686874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Prospecting,2227377,Paused,O-GGF8,Aviva_Car_REM_RTB_ABC1_Tablet_Peak,6399307,Paused,VIVAKI AOD_Prospecting,VisualDNA,GBP,43701,48,121.706625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting,2293078,Paused,O-HFG9,AvivaUK_Car_REM_RTB_Ebay_End Quote 10 minutes,6810548,Paused,VIVAKIAOD_Retargeting,,GBP,3999,1,22.081576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Prospecting_October,2637374,Paused,O-LVP9,Aviva_PRO_3rd Party_AD_CPA_Multi_RTB_Audience Composition_Quotes_Desktop_AV>50%,8734028,Paused,PC23K9,BlueKai eXelate AddThis VisualDNA SkimLinks,GBP,573103,139,1477.290669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Retargeting_December_5th_AI,2814423,Paused,O-N4YG,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_Start Quote 24 Hours_AV>50%,9490580,Active,PCVX37,,GBP,20475,9,88.492724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Prospecting,2227377,Paused,O-GGF8,Aviva_Car_REM_RTB_ABC1_Tablet_Monday,6400014,Paused,VIVAKI AOD_Prospecting,VisualDNA,GBP,4,0,0.013831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting,2227378,Paused,O-GGF8,AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 10 minutes,6399960,Paused,VIVAKIAOD_Retargeting,,GBP,3060,1,15.241955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Prospecting,2293077,Paused,O-HFG9,Aviva_Car_REM_RTB_ABC1_Desktop_Peak,6810116,Paused,VIVAKI AOD_Prospecting,VisualDNA,GBP,1063268,359,3171.685999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-KF4B_Aviva_UK_AD_2016_August_Car Insurance_Retargeting,2488686,Paused,O-KF4B,AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote,7971985,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,109142,18,598.194691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Retargeting_October,2638741,Paused,O-LVP9,AvivaUK_Car_REM_RTB_Ebay_End Quote_300x250,8737496,Paused,PC20LH,,GBP,54863,28,225.008007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Prospecting_December_5th,2814418,Paused,O-N4YG,Aviva_FIL_KEY CON TAR_AD_CPA_RTB_Desktop_AV>50%,9490294,Active,PCVX3Q,,GBP,130842,52,299.251244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-QR5R_2017_Aviva_Car Insurance_Non-Customers_Prospecting_March,3054350,Paused,O-QR5R,Aviva_PRO_3rd Party_AM_CPA_Visual DNA_CPM_ABC1_Mobile_Monday_AV>50%,10466967,Active,PFHN44,VisualDNA,GBP,10492,14,34.850055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting,2227378,Paused,O-GGF8,AvivaUK_Car_REM_RTB_Top Converter Channel_End Quote 48 Hours,6399962,Paused,VIVAKIAOD_Retargeting,,GBP,5118,0,31.826704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Retargeting_October,2638741,Paused,O-LVP9,AvivaUK_Car_REM_RTB_MSFT_Start Quote,8737506,Paused,PC20LH,,GBP,82401,57,352.549319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-NR27_2017_Aviva_Car Insurance_Non-Customers_Prospecting_January,2886945,Paused,O-NR27,Aviva_PRO_3rd Party_AD_CPA_Visual DNA_RTB_ABC1_Tablet_AV>50%,9762183,Active,PCVX3Q,VisualDNA,GBP,34803,132,106.266349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-NR27_2017_Aviva_Car Insurance_Non-Customers_Retargeting_January,2886946,Paused,O-NR27,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_In Market,9762203,Active,PCVX37,BlueKai eXelate CrossPixel Lotame VisualDNA Eyeota SIRdata,GBP,1504,1,3.92086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-PLTW_2017_Aviva_Car Insurance_Non-Customers_Retargeting_February,2959864,Paused,O-PLTW,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_Start Quote 24 Hours,10079771,Active,PDVN1Y,,GBP,390194,104,888.988706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-GGF8_Aviva_UK_AD_2016_April_Car Insurance_Retargeting,2227378,Paused,O-GGF8,AvivaUK_Car_REM_RTB_Ebay_Car Homepage,6399923,Paused,VIVAKIAOD_Retargeting,,GBP,7519,2,17.465104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting,2293078,Paused,O-HFG9,AvivaUK_Car_REM_RTB_Other_End Quote_728x90_excl sites,6810893,Paused,VIVAKIAOD_Retargeting,,GBP,53572,9,171.78866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Retargeting_December,2806250,Paused,O-N4YG,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_Start Quote 24 Hours,9444751,Active,PCVX37,,GBP,86691,33,239.197381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-NR27_2017_Aviva_Car Insurance_Non-Customers_Prospecting_January,2886945,Paused,O-NR27,Aviva_FIL_KEY CON TAR_AM_CPA_CPM_Mobile_AV>50%,9761271,Active,PCVX3Q,,GBP,44503,76,84.685006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HFG9_Aviva_UK_AD_2016_May_Car Insurance_Retargeting,2293078,Paused,O-HFG9,AvivaUK_Car_REM_RTB_Top Converter Channel_Start Quote 24 Hours,6810910,Paused,VIVAKIAOD_Retargeting,,GBP,2357,1,9.979561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting,2352596,Paused,O-HZNC,AvivaUK_Car_REM_RTB_Yahoo_Car Homepage,7250289,Paused,VIVAKI AOD_RON_Retargeting,,GBP,54325,62,201.040135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-JSGV_Aviva_UK_AD_2016_July_Car Insurance_Prospecting,2428661,Paused,O-JSGV,Aviva_Car_REM_RTB_ABC1_Tablet,7647871,Paused,VIVAKI AOD_Desktop/Tabl et/Mobile_Prospecti ng,VisualDNA,GBP,213375,189,792.818883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-JSGV_Aviva_UK_AD_2016_July_Car Insurance_Retargeting,2428662,Paused,O-JSGV,AvivaUK_Car_REM_RTB_Other_End Quote_160x600_excl sites,7648742,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,132451,43,450.805113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-KF4B_Aviva_UK_AD_2016_August_Car Insurance_Prospecting,2488685,Paused,O-KF4B,Aviva_Car_REM_RTB_ABC1_Desktop_Monday,7971689,Paused,VIVAKI AOD_Desktop/Tabl et/Mobile_Prospecti ng,VisualDNA,GBP,97394,14,300.227669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-NR27_2017_Aviva_Car Insurance_Existing Customers_Retargeting_January,2886944,Paused,O-NR27,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Existing Customers (non UKDI)_End Quote 24-48 Hours,9761261,Active,PCVX2H,,GBP,37397,13,100.323519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-QR5R_2017_Aviva_Car Insurance_Non-Customers_Prospecting_March,3054350,Paused,O-QR5R,Aviva_PRO_3rd Party_AD_CPA_Visual DNA_RTB_ABC1_Tablet_Monday_AV>50%,10466962,Active,PFHN44,VisualDNA,GBP,5260,12,17.238914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-RK1W_2017_Aviva_Car Insurance_Non-Customers_Retargeting_April 2,3227263,Paused,O-RK1W,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_End Quote 24 Hours,11314634,Active,PG0JFS,,GBP,957013,347,3107.748968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-SC7K_2017_Aviva_Car Insurance_Non-Customers_Retargeting_May,3323741,Active,O-SC7K,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_Car Product Pages >24 Hours,11646994,Active,PGNK02,,GBP,219001,39,382.150571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Retargeting_December_5th_AI,2814423,Paused,O-N4YG,Aviva_REM_Site REM_AD_CPA_DMP_DMP_RTB_Non-Existing Customers_Car Product Pages,9490369,Active,PCVX37,,GBP,29085,7,65.381939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-HZNC_Aviva_UK_AD_2016_June_Car Insurance_Retargeting,2352596,Paused,O-HZNC,AvivaUK_Car_REM_RTB_Ebay_End Quote 10 minutes,7250133,Paused,VIVAKI AOD_RON_Retargeting,,GBP,3895,0,19.476151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-KF4B_Aviva_UK_AD_2016_August_Car Insurance_Retargeting,2488686,Paused,O-KF4B,AvivaUK_Car_REM_RTB_Other_End Quote,7971965,Paused,VIVAKI AOD_Desktop_Ret argeting,,GBP,176260,52,616.384428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-LVP9_2016_Aviva_Car Insurance_Non-Customers_Retargeting_October,2638741,Paused,O-LVP9,AvivaUK_Car_REM_RTB_Other_End Quote 48 Hours,8737517,Paused,PC20LH,,GBP,83818,32,459.781303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-ML40_2016_Aviva_Car Insurance_Non-Customers_Prospecting_November,2709277,Paused,O-ML40,Aviva_PRO_3rd Party_AD_CPA_Multi_RTB_Audience Composition_Sales_Tablet_AV>50%,9092340,Active,PCHCCB,BlueKai eXelate AddThis Lotame VisualDNA,GBP,190003,204,455.849163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Prospecting_December_5th,2814418,Paused,O-N4YG,Aviva_PRO_3rd Party_AD_CPA_Multi_RTB_Audience Composition_Quotes_Desktop_AV>50%,9490301,Active,PCVX3Q,BlueKai eXelate AddThis VisualDNA SkimLinks,GBP,105716,28,285.955539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O-N4YG_2016_Aviva_Car Insurance_Non-Customers_Prospecting_December_5th_AI,2814422,Paused,O-N4YG,Aviva_FIL_KEY CON TAR_AM_CPA_CPM_Mobile_AV>50%,9490344,Active,PCVX3Q,,GBP,8257,11,14.749704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
